World,Expected,Severity,MAE,Temporal,Context,Provenance,Predicted,Correct
A_Noise_0.02,KEEP,0.02,0.0004177912654128,0.0302810373858621,0.03151776360927,1.0,KEEP,True
A_Noise_0.05,KEEP,0.05,0.001050335887378,0.0112799524871822,0.0231583579177204,1.0,KEEP,True
A_Noise_0.10,KEEP,0.1,0.0021287638676207,0.0234967195119417,0.0443111783909397,1.0,KEEP,True
A_Noise_0.15,KEEP,0.15,0.0031422325825723,0.0313722145989277,0.043497182945334,1.0,KEEP,True
A_Noise_0.20,KEEP,0.2,0.0041289627974372,0.0272694125385932,0.0089140174455369,1.0,KEEP,True
B_Parameter_0.02,RECALIBRATE,0.02,0.0004085720354728,0.8994497031414082,0.9999997568595644,1.0,RECALIBRATE,True
B_Parameter_0.05,RECALIBRATE,0.05,0.0010214300886821,0.899449703141408,0.9999997568595644,1.0,RECALIBRATE,True
B_Parameter_0.10,RECALIBRATE,0.1,0.0020428601773643,0.8994497031414084,0.9999997568595642,1.0,RECALIBRATE,True
B_Parameter_0.15,RECALIBRATE,0.15,0.0030642902660465,0.8994497031414084,0.9999997568595644,1.0,RECALIBRATE,True
B_Parameter_0.20,RECALIBRATE,0.2,0.0040857203547287,0.899449703141408,0.9999997568595644,1.0,RECALIBRATE,True
C_Structural_0.002,REVISE,0.002,0.002830073266119,0.4145532215458737,0.9108359948627528,1.0,REVISE,True
C_Structural_0.005,REVISE,0.005,0.0070751831652975,0.4145532215458735,0.9108359948627536,1.0,REVISE,True
C_Structural_0.010,REVISE,0.01,0.014150366330595,0.4145532215458735,0.9108359948627536,1.0,REVISE,True
C_Structural_0.015,REVISE,0.015,0.0212255494958925,0.4145532215458737,0.9108359948627528,1.0,REVISE,True
C_Structural_0.025,REVISE,0.025,0.0353759158264875,0.4145532215458735,0.9108359948627532,1.0,REVISE,True
D_Insufficient_0.80,ABSTAIN,0.8,0.0212255494958925,0.4145532215458737,0.9108359948627528,0.8,REVISE,False
D_Insufficient_0.60,ABSTAIN,0.6,0.0212255494958925,0.4145532215458737,0.9108359948627528,0.6,ABSTAIN,True
D_Insufficient_0.40,ABSTAIN,0.4,0.0212255494958925,0.4145532215458737,0.9108359948627528,0.4,ABSTAIN,True
D_Insufficient_0.20,ABSTAIN,0.2,0.0212255494958925,0.4145532215458737,0.9108359948627528,0.2,ABSTAIN,True
D_Insufficient_0.10,ABSTAIN,0.1,0.0212255494958925,0.4145532215458737,0.9108359948627528,0.1,ABSTAIN,True
