World,Expected,Severity,MAE,Temporal,Context,Provenance,Predicted,Correct
A_UnseenNoise_0.03,KEEP,0.03,0.0006167565013433,0.0187104527295574,0.0239479077020197,1.0,KEEP,True
A_UnseenNoise_0.07,KEEP,0.07,0.0014047622711549,0.0354205155102137,0.0327779944311928,1.0,KEEP,True
A_UnseenNoise_0.12,KEEP,0.12,0.0025099450513612,0.0035485625065709,0.0376722480134426,1.0,KEEP,True
A_UnseenNoise_0.17,KEEP,0.17,0.0035634980095644,0.017435240361911,0.025679090017962,1.0,KEEP,True
A_UnseenNoise_0.22,KEEP,0.22,0.0046660477985414,0.0401089926884658,0.0256958818636849,1.0,KEEP,True
B_UnseenParameter_0.03,RECALIBRATE,0.03,0.0006128580532093,0.8994497031414079,0.999999756859564,1.0,RECALIBRATE,True
B_UnseenParameter_0.07,RECALIBRATE,0.07,0.001430002124155,0.8994497031414085,0.9999997568595644,1.0,RECALIBRATE,True
B_UnseenParameter_0.12,RECALIBRATE,0.12,0.0024514322128372,0.8994497031414084,0.9999997568595644,1.0,RECALIBRATE,True
B_UnseenParameter_0.17,RECALIBRATE,0.17,0.0034728623015194,0.8994497031414087,0.999999756859564,1.0,RECALIBRATE,True
B_UnseenParameter_0.22,RECALIBRATE,0.22,0.0044942923902016,0.8994497031414087,0.9999997568595644,1.0,RECALIBRATE,True
C_UnseenStructural_0.003,REVISE,0.003,0.0042451098991785,0.4145532215458735,0.9108359948627532,1.0,REVISE,True
C_UnseenStructural_0.007,REVISE,0.007,0.0099052564314165,0.4145532215458738,0.9108359948627534,1.0,REVISE,True
C_UnseenStructural_0.012,REVISE,0.012,0.016980439596714,0.4145532215458735,0.9108359948627532,1.0,REVISE,True
C_UnseenStructural_0.018,REVISE,0.018,0.025470659395071,0.4145532215458734,0.9108359948627534,1.0,REVISE,True
C_UnseenStructural_0.030,REVISE,0.03,0.042451098991785,0.4145532215458737,0.9108359948627528,1.0,REVISE,True
D_UnseenInsufficient_0.75,ABSTAIN,0.75,0.025470659395071,0.4145532215458734,0.9108359948627534,0.75,ABSTAIN,True
D_UnseenInsufficient_0.65,ABSTAIN,0.65,0.025470659395071,0.4145532215458734,0.9108359948627534,0.65,ABSTAIN,True
D_UnseenInsufficient_0.55,ABSTAIN,0.55,0.025470659395071,0.4145532215458734,0.9108359948627534,0.55,ABSTAIN,True
D_UnseenInsufficient_0.45,ABSTAIN,0.45,0.025470659395071,0.4145532215458734,0.9108359948627534,0.45,ABSTAIN,True
D_UnseenInsufficient_0.25,ABSTAIN,0.25,0.025470659395071,0.4145532215458734,0.9108359948627534,0.25,ABSTAIN,True
