World,Expected,MAE,Temporal,Context,Provenance,ETMR_Decision,Correct
C_Structural_0.002,REVISE,0.002830073266119,0.4145532215458737,0.9108359948627528,1.0,REVISE,True
C_Structural_0.005,REVISE,0.0070751831652975,0.4145532215458735,0.9108359948627536,1.0,REVISE,True
C_Structural_0.010,REVISE,0.014150366330595,0.4145532215458735,0.9108359948627536,1.0,REVISE,True
C_Structural_0.015,REVISE,0.0212255494958925,0.4145532215458737,0.9108359948627528,1.0,REVISE,True
C_Structural_0.025,REVISE,0.0353759158264875,0.4145532215458735,0.9108359948627532,1.0,REVISE,True
C_UnseenStructural_0.003,REVISE,0.0042451098991785,0.4145532215458735,0.9108359948627532,1.0,REVISE,True
C_UnseenStructural_0.007,REVISE,0.0099052564314165,0.4145532215458738,0.9108359948627534,1.0,REVISE,True
C_UnseenStructural_0.012,REVISE,0.016980439596714,0.4145532215458735,0.9108359948627532,1.0,REVISE,True
C_UnseenStructural_0.018,REVISE,0.025470659395071,0.4145532215458734,0.9108359948627534,1.0,REVISE,True
C_UnseenStructural_0.030,REVISE,0.042451098991785,0.4145532215458737,0.9108359948627528,1.0,REVISE,True
C1_Temperature_Nonlinear,REVISE,0.0630282893909729,0.9744327512430596,0.9939309023325014,1.0,REVISE,True
C2_Rainfall_Saturation,REVISE,0.0153460303873481,0.3855497251633543,1.0,1.0,REVISE,True
C3_Rainfall_Temperature_Interaction,REVISE,0.0203003396534332,0.4934020172139128,0.915499932761671,1.0,REVISE,True
C4_Rainfall_Threshold,REVISE,0.0483832686980609,0.2099111440737031,0.9855369118780892,1.0,REVISE,True
C5_Delayed_Rainfall,REVISE,0.0235610986468901,0.3530925473016233,0.0604291994360478,1.0,REVISE,True
