World,Expected,Severity,MAE,Temporal,Context,Provenance,Lagged_Rainfall,Interaction,Source,Strongest_Context,Strongest_Lag,Rich_ETMR_Decision,Correct,ETMR_Decision
A_Noise_0.02,KEEP,0.02,0.0004177912654128,0.0302810373858621,0.03151776360927,1.0,0.0,0.0,benchmark,,,,True,KEEP
A_Noise_0.05,KEEP,0.05,0.001050335887378,0.0112799524871822,0.0231583579177204,1.0,0.0,0.0,benchmark,,,,True,KEEP
A_Noise_0.10,KEEP,0.1,0.0021287638676207,0.0234967195119417,0.0443111783909397,1.0,0.0,0.0,benchmark,,,,True,KEEP
A_Noise_0.15,KEEP,0.15,0.0031422325825723,0.0313722145989277,0.043497182945334,1.0,0.0,0.0,benchmark,,,,True,KEEP
A_Noise_0.20,KEEP,0.2,0.0041289627974372,0.0272694125385932,0.0089140174455369,1.0,0.0,0.0,benchmark,,,,True,KEEP
B_Parameter_0.02,RECALIBRATE,0.02,0.0004085720354728,0.8994497031414082,0.9999997568595644,1.0,0.0,0.0,benchmark,,,,False,REVISE
B_Parameter_0.05,RECALIBRATE,0.05,0.0010214300886821,0.899449703141408,0.9999997568595644,1.0,0.0,0.0,benchmark,,,,False,REVISE
B_Parameter_0.10,RECALIBRATE,0.1,0.0020428601773643,0.8994497031414084,0.9999997568595642,1.0,0.0,0.0,benchmark,,,,False,REVISE
B_Parameter_0.15,RECALIBRATE,0.15,0.0030642902660465,0.8994497031414084,0.9999997568595644,1.0,0.0,0.0,benchmark,,,,False,REVISE
B_Parameter_0.20,RECALIBRATE,0.2,0.0040857203547287,0.899449703141408,0.9999997568595644,1.0,0.0,0.0,benchmark,,,,False,REVISE
D_UnseenInsufficient_0.75,ABSTAIN,0.75,0.025470659395071,0.4145532215458734,0.9108359948627534,0.75,0.0,0.0,benchmark,,,,False,REVISE
D_UnseenInsufficient_0.65,ABSTAIN,0.65,0.025470659395071,0.4145532215458734,0.9108359948627534,0.65,0.0,0.0,benchmark,,,,False,REVISE
D_UnseenInsufficient_0.55,ABSTAIN,0.55,0.025470659395071,0.4145532215458734,0.9108359948627534,0.55,0.0,0.0,benchmark,,,,False,REVISE
D_UnseenInsufficient_0.45,ABSTAIN,0.45,0.025470659395071,0.4145532215458734,0.9108359948627534,0.45,0.0,0.0,benchmark,,,,False,REVISE
D_UnseenInsufficient_0.25,ABSTAIN,0.25,0.025470659395071,0.4145532215458734,0.9108359948627534,0.25,0.0,0.0,benchmark,,,,False,REVISE
C_Structural_0.002,REVISE,0.002,0.002830073266119,0.4145532215458737,0.9108359948627528,1.0,0.0,0.0,development_structural,,,,True,REVISE
C_Structural_0.005,REVISE,0.005,0.0070751831652975,0.4145532215458735,0.9108359948627536,1.0,0.0,0.0,development_structural,,,,True,REVISE
C_Structural_0.010,REVISE,0.01,0.014150366330595,0.4145532215458735,0.9108359948627536,1.0,0.0,0.0,development_structural,,,,True,REVISE
C_Structural_0.015,REVISE,0.015,0.0212255494958925,0.4145532215458737,0.9108359948627528,1.0,0.0,0.0,development_structural,,,,True,REVISE
C_Structural_0.025,REVISE,0.025,0.0353759158264875,0.4145532215458735,0.9108359948627532,1.0,0.0,0.0,development_structural,,,,True,REVISE
C_UnseenStructural_0.003,REVISE,0.003,0.0042451098991785,0.4145532215458735,0.9108359948627532,1.0,0.0,0.0,unseen_severity,,,,True,REVISE
C_UnseenStructural_0.007,REVISE,0.007,0.0099052564314165,0.4145532215458738,0.9108359948627534,1.0,0.0,0.0,unseen_severity,,,,True,REVISE
C_UnseenStructural_0.012,REVISE,0.012,0.016980439596714,0.4145532215458735,0.9108359948627532,1.0,0.0,0.0,unseen_severity,,,,True,REVISE
C_UnseenStructural_0.018,REVISE,0.018,0.025470659395071,0.4145532215458734,0.9108359948627534,1.0,0.0,0.0,unseen_severity,,,,True,REVISE
C_UnseenStructural_0.030,REVISE,0.03,0.042451098991785,0.4145532215458737,0.9108359948627528,1.0,0.0,0.0,unseen_severity,,,,True,REVISE
C1_Temperature_Nonlinear,REVISE,,0.0630282893909729,0.9744327512430596,0.9939309023325014,1.0,0.0875714629570499,0.627413068522098,unseen_mechanism,temperature,rainfall_lag1,REVISE,True,REVISE
C2_Rainfall_Saturation,REVISE,,0.0153460303873481,0.3855497251633543,1.0,1.0,0.2380731631973483,0.2562595066155793,unseen_mechanism,log_rainfall,rainfall_lag1,REVISE,True,REVISE
C3_Rainfall_Temperature_Interaction,REVISE,,0.0203003396534332,0.4934020172139128,0.915499932761671,1.0,0.2777694395555042,0.6783218388610277,unseen_mechanism,rainfall_temperature,rainfall_lag1,REVISE,True,REVISE
C4_Rainfall_Threshold,REVISE,,0.0483832686980609,0.2099111440737031,0.9855369118780892,1.0,0.2379610991544226,0.4149702818515964,unseen_mechanism,rainfall,rainfall_lag1,REVISE,True,REVISE
C5_Delayed_Rainfall,REVISE,,0.0235610986468901,0.3530925473016233,0.0604291994360478,1.0,0.9157591594741216,0.0684701998852718,unseen_mechanism,temperature,rainfall_lag2,REVISE,True,REVISE
