World,Expected,Severity,MAE,Temporal,Context,Provenance,Q_evidence,Lagged_Rainfall,Interaction,Strongest_Context,Strongest_Lag,Rich_ETMR_Decision,Correct,H_KEEP,H_PARAMETER,H_STRUCTURAL,ETMR_Decision
A_Noise_0.02,KEEP,0.02,0.0004177912654128,0.0302810373858621,0.03151776360927,1.0,1.0,0.0,0.0,,,,True,0.9391555895830389,0.0302810373858621,0.03151776360927,KEEP
A_Noise_0.05,KEEP,0.05,0.001050335887378,0.0112799524871822,0.0231583579177204,1.0,1.0,0.0,0.0,,,,True,0.9658229147720905,0.0112799524871822,0.0231583579177204,KEEP
A_Noise_0.10,KEEP,0.1,0.0021287638676207,0.0234967195119417,0.0443111783909397,1.0,1.0,0.0,0.0,,,,True,0.9332332694270142,0.0234967195119417,0.0443111783909397,KEEP
A_Noise_0.15,KEEP,0.15,0.0031422325825723,0.0313722145989277,0.043497182945334,1.0,1.0,0.0,0.0,,,,True,0.9264952054135481,0.0313722145989277,0.043497182945334,KEEP
A_Noise_0.20,KEEP,0.2,0.0041289627974372,0.0272694125385932,0.0089140174455369,1.0,1.0,0.0,0.0,,,,True,0.9640596500349685,0.0272694125385932,0.0089140174455369,KEEP
B_Parameter_0.02,RECALIBRATE,0.02,0.0004085720354728,0.8994497031414082,0.9999997568595644,1.0,1.0,0.0,0.0,,,,True,2.4447842974181908e-08,0.8994497031414082,0.9999997568595644,RECALIBRATE
B_Parameter_0.05,RECALIBRATE,0.05,0.0010214300886821,0.899449703141408,0.9999997568595644,1.0,1.0,0.0,0.0,,,,True,2.4447842974181934e-08,0.899449703141408,0.9999997568595644,RECALIBRATE
B_Parameter_0.10,RECALIBRATE,0.1,0.0020428601773643,0.8994497031414084,0.9999997568595642,1.0,1.0,0.0,0.0,,,,True,2.4447842996508505e-08,0.8994497031414084,0.9999997568595642,RECALIBRATE
B_Parameter_0.15,RECALIBRATE,0.15,0.0030642902660465,0.8994497031414084,0.9999997568595644,1.0,1.0,0.0,0.0,,,,True,2.444784297418185e-08,0.8994497031414084,0.9999997568595644,RECALIBRATE
B_Parameter_0.20,RECALIBRATE,0.2,0.0040857203547287,0.899449703141408,0.9999997568595644,1.0,1.0,0.0,0.0,,,,True,2.4447842974181934e-08,0.899449703141408,0.9999997568595644,RECALIBRATE
C_Structural_0.002,REVISE,0.002,0.002830073266119,0.4145532215458737,0.9108359948627528,1.0,1.0,0.0,0.0,,,,True,0.05220077956166854,0.4145532215458737,0.9108359948627528,REVISE
C_Structural_0.005,REVISE,0.005,0.0070751831652975,0.4145532215458735,0.9108359948627536,1.0,1.0,0.0,0.0,,,,True,0.05220077956166811,0.4145532215458735,0.9108359948627536,REVISE
C_Structural_0.010,REVISE,0.01,0.014150366330595,0.4145532215458735,0.9108359948627536,1.0,1.0,0.0,0.0,,,,True,0.05220077956166811,0.4145532215458735,0.9108359948627536,REVISE
C_Structural_0.015,REVISE,0.015,0.0212255494958925,0.4145532215458737,0.9108359948627528,1.0,1.0,0.0,0.0,,,,True,0.05220077956166854,0.4145532215458737,0.9108359948627528,REVISE
C_Structural_0.025,REVISE,0.025,0.0353759158264875,0.4145532215458735,0.9108359948627532,1.0,1.0,0.0,0.0,,,,True,0.052200779561668305,0.4145532215458735,0.9108359948627532,REVISE
D_Insufficient_0.80,ABSTAIN,0.8,0.0212255494958925,0.4145532215458737,0.9108359948627528,0.8,0.8,0.0,0.0,,,,False,0.04176062364933483,0.331642577236699,0.7286687958902023,REVISE
D_Insufficient_0.60,ABSTAIN,0.6,0.0212255494958925,0.4145532215458737,0.9108359948627528,0.6,0.6,0.0,0.0,,,,False,0.031320467737001124,0.2487319329275242,0.5465015969176517,REVISE
D_Insufficient_0.40,ABSTAIN,0.4,0.0212255494958925,0.4145532215458737,0.9108359948627528,0.4,0.4,0.0,0.0,,,,False,0.020880311824667416,0.1658212886183495,0.36433439794510114,REVISE
D_Insufficient_0.20,ABSTAIN,0.2,0.0212255494958925,0.4145532215458737,0.9108359948627528,0.2,0.2,0.0,0.0,,,,False,0.010440155912333708,0.08291064430917475,0.18216719897255057,REVISE
D_Insufficient_0.10,ABSTAIN,0.1,0.0212255494958925,0.4145532215458737,0.9108359948627528,0.1,0.1,0.0,0.0,,,,False,0.005220077956166854,0.04145532215458737,0.09108359948627529,REVISE
A_UnseenNoise_0.03,KEEP,0.03,0.0006167565013433,0.0187104527295574,0.0239479077020197,1.0,1.0,0.0,0.0,,,,True,0.9577897157634533,0.0187104527295574,0.0239479077020197,KEEP
A_UnseenNoise_0.07,KEEP,0.07,0.0014047622711549,0.0354205155102137,0.0327779944311928,1.0,1.0,0.0,0.0,,,,True,0.9329625035187372,0.0354205155102137,0.0327779944311928,KEEP
A_UnseenNoise_0.12,KEEP,0.12,0.0025099450513612,0.0035485625065709,0.0376722480134426,1.0,1.0,0.0,0.0,,,,True,0.9589128718068253,0.0035485625065709,0.0376722480134426,KEEP
A_UnseenNoise_0.17,KEEP,0.17,0.0035634980095644,0.017435240361911,0.025679090017962,1.0,1.0,0.0,0.0,,,,True,0.9573333907268653,0.017435240361911,0.025679090017962,KEEP
A_UnseenNoise_0.22,KEEP,0.22,0.0046660477985414,0.0401089926884658,0.0256958818636849,1.0,1.0,0.0,0.0,,,,True,0.9352257613856435,0.0401089926884658,0.0256958818636849,KEEP
B_UnseenParameter_0.03,RECALIBRATE,0.03,0.0006128580532093,0.8994497031414079,0.999999756859564,1.0,1.0,0.0,0.0,,,,True,2.444784301883526e-08,0.8994497031414079,0.999999756859564,RECALIBRATE
B_UnseenParameter_0.07,RECALIBRATE,0.07,0.001430002124155,0.8994497031414085,0.9999997568595644,1.0,1.0,0.0,0.0,,,,True,2.4447842974181825e-08,0.8994497031414085,0.9999997568595644,RECALIBRATE
B_UnseenParameter_0.12,RECALIBRATE,0.12,0.0024514322128372,0.8994497031414084,0.9999997568595644,1.0,1.0,0.0,0.0,,,,True,2.444784297418185e-08,0.8994497031414084,0.9999997568595644,RECALIBRATE
B_UnseenParameter_0.17,RECALIBRATE,0.17,0.0034728623015194,0.8994497031414087,0.999999756859564,1.0,1.0,0.0,0.0,,,,True,2.4447843018835072e-08,0.8994497031414087,0.999999756859564,RECALIBRATE
B_UnseenParameter_0.22,RECALIBRATE,0.22,0.0044942923902016,0.8994497031414087,0.9999997568595644,1.0,1.0,0.0,0.0,,,,True,2.4447842974181772e-08,0.8994497031414087,0.9999997568595644,RECALIBRATE
C_UnseenStructural_0.003,REVISE,0.003,0.0042451098991785,0.4145532215458735,0.9108359948627532,1.0,1.0,0.0,0.0,,,,True,0.052200779561668305,0.4145532215458735,0.9108359948627532,REVISE
C_UnseenStructural_0.007,REVISE,0.007,0.0099052564314165,0.4145532215458738,0.9108359948627534,1.0,1.0,0.0,0.0,,,,True,0.05220077956166821,0.4145532215458738,0.9108359948627534,REVISE
C_UnseenStructural_0.012,REVISE,0.012,0.016980439596714,0.4145532215458735,0.9108359948627532,1.0,1.0,0.0,0.0,,,,True,0.052200779561668305,0.4145532215458735,0.9108359948627532,REVISE
C_UnseenStructural_0.018,REVISE,0.018,0.025470659395071,0.4145532215458734,0.9108359948627534,1.0,1.0,0.0,0.0,,,,True,0.05220077956166825,0.4145532215458734,0.9108359948627534,REVISE
C_UnseenStructural_0.030,REVISE,0.03,0.042451098991785,0.4145532215458737,0.9108359948627528,1.0,1.0,0.0,0.0,,,,True,0.05220077956166854,0.4145532215458737,0.9108359948627528,REVISE
D_UnseenInsufficient_0.75,ABSTAIN,0.75,0.025470659395071,0.4145532215458734,0.9108359948627534,0.75,0.75,0.0,0.0,,,,False,0.03915058467125119,0.31091491615940503,0.683126996147065,REVISE
