Evidence_Quality,Structural_Support,Persistence_Support,Decision
1.0,0.910836,0.414553,REVISE
0.95,0.8652941999999999,0.39382534999999996,REVISE
0.9,0.8197524,0.37309770000000003,REVISE
0.85,0.7742106,0.35237005,REVISE
0.8,0.7286688,0.3316424,REVISE
0.75,0.683127,0.31091475,REVISE
0.7,0.6375852,0.2901871,REVISE
0.65,0.5920434,0.26945945,REVISE
0.6,0.5465015999999999,0.2487318,REVISE
0.55,0.5009598000000001,0.22800415000000002,REVISE
0.5,0.455418,0.2072765,REVISE
0.45,0.4098762,0.18654885000000002,REVISE
0.4,0.3643344,0.1658212,REVISE
0.35,0.3187926,0.14509355,REVISE
0.3,0.27325079999999996,0.1243659,REVISE
0.25,0.227709,0.10363825,REVISE
0.2,0.1821672,0.0829106,REVISE
0.15,0.13662539999999998,0.06218295,REVISE
0.1,0.0910836,0.0414553,REVISE
0.05,0.0455418,0.02072765,ABSTAIN
