World,Expected,Severity,MAE,Temporal,Context,Provenance,Q_evidence,Lagged_Rainfall,Interaction,Strongest_Context,Strongest_Lag,Rich_ETMR_Decision,Correct,Parameter_Support,Structural_Support,Structural_minus_Parameter,Hypothesis_Decision,Hypothesis_Correct
B_Parameter_0.02,RECALIBRATE,0.02,0.0004085720354728,0.8994497031414082,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.8994497031414082,0.9999997568595644,0.10055005371815628,STRUCTURAL,False
B_Parameter_0.05,RECALIBRATE,0.05,0.0010214300886821,0.899449703141408,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.899449703141408,0.9999997568595644,0.1005500537181564,STRUCTURAL,False
B_Parameter_0.10,RECALIBRATE,0.1,0.0020428601773643,0.8994497031414084,0.9999997568595642,1.0,1.0,0.0,0.0,,,,,0.8994497031414084,0.9999997568595642,0.10055005371815584,STRUCTURAL,False
B_Parameter_0.15,RECALIBRATE,0.15,0.0030642902660465,0.8994497031414084,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.8994497031414084,0.9999997568595644,0.10055005371815606,STRUCTURAL,False
B_Parameter_0.20,RECALIBRATE,0.2,0.0040857203547287,0.899449703141408,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.899449703141408,0.9999997568595644,0.1005500537181564,STRUCTURAL,False
C_Structural_0.002,REVISE,0.002,0.002830073266119,0.4145532215458737,0.9108359948627528,1.0,1.0,0.0,0.0,,,,,0.4145532215458737,0.9108359948627528,0.4962827733168791,STRUCTURAL,True
C_Structural_0.005,REVISE,0.005,0.0070751831652975,0.4145532215458735,0.9108359948627536,1.0,1.0,0.0,0.0,,,,,0.4145532215458735,0.9108359948627536,0.4962827733168801,STRUCTURAL,True
C_Structural_0.010,REVISE,0.01,0.014150366330595,0.4145532215458735,0.9108359948627536,1.0,1.0,0.0,0.0,,,,,0.4145532215458735,0.9108359948627536,0.4962827733168801,STRUCTURAL,True
C_Structural_0.015,REVISE,0.015,0.0212255494958925,0.4145532215458737,0.9108359948627528,1.0,1.0,0.0,0.0,,,,,0.4145532215458737,0.9108359948627528,0.4962827733168791,STRUCTURAL,True
C_Structural_0.025,REVISE,0.025,0.0353759158264875,0.4145532215458735,0.9108359948627532,1.0,1.0,0.0,0.0,,,,,0.4145532215458735,0.9108359948627532,0.49628277331687976,STRUCTURAL,True
B_UnseenParameter_0.03,RECALIBRATE,0.03,0.0006128580532093,0.8994497031414079,0.999999756859564,1.0,1.0,0.0,0.0,,,,,0.8994497031414079,0.999999756859564,0.10055005371815606,STRUCTURAL,False
B_UnseenParameter_0.07,RECALIBRATE,0.07,0.001430002124155,0.8994497031414085,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.8994497031414085,0.9999997568595644,0.10055005371815595,STRUCTURAL,False
B_UnseenParameter_0.12,RECALIBRATE,0.12,0.0024514322128372,0.8994497031414084,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.8994497031414084,0.9999997568595644,0.10055005371815606,STRUCTURAL,False
B_UnseenParameter_0.17,RECALIBRATE,0.17,0.0034728623015194,0.8994497031414087,0.999999756859564,1.0,1.0,0.0,0.0,,,,,0.8994497031414087,0.999999756859564,0.10055005371815529,STRUCTURAL,False
B_UnseenParameter_0.22,RECALIBRATE,0.22,0.0044942923902016,0.8994497031414087,0.9999997568595644,1.0,1.0,0.0,0.0,,,,,0.8994497031414087,0.9999997568595644,0.10055005371815573,STRUCTURAL,False
C_UnseenStructural_0.003,REVISE,0.003,0.0042451098991785,0.4145532215458735,0.9108359948627532,1.0,1.0,0.0,0.0,,,,,0.4145532215458735,0.9108359948627532,0.49628277331687976,STRUCTURAL,True
