World,Expected,MAE,Temporal,Context,Lagged_Rainfall,Interaction,Q_evidence,Parameter_Gain,Structural_Gain,Predicted
BOUNDARY_PARAMETER_01,RECALIBRATE,0.0020406797708899,0.7677181999073726,0.346274732076087,0.2056974085095603,0.0520707039069749,1.0,0.5780478115415549,0.2056974085095603,ABSTAIN
BOUNDARY_PARAMETER_02,RECALIBRATE,0.0039326837493127,0.7115573134654843,0.3304786662646562,0.1270223122783482,0.1373750609568144,1.0,0.5358398890318378,0.15339501440601308,ABSTAIN
BOUNDARY_PARAMETER_03,RECALIBRATE,0.005299507789511,0.7376775132583908,0.329306066271382,0.0915059947794171,0.0564058824009465,1.0,0.6323737525797157,0.1210615533960836,ABSTAIN
BOUNDARY_PARAMETER_04,RECALIBRATE,0.0034790049904117,0.7070972808630694,0.3143521409214435,0.1206841419797601,0.0612512562069057,1.0,0.5836781577155203,0.13087166243448572,ABSTAIN
BOUNDARY_PARAMETER_05,RECALIBRATE,0.006518897985644,0.7573364378659404,0.1678865075034261,0.0557775852032711,0.1946502110630091,1.0,0.575900834325303,0.1946502110630091,ABSTAIN
BOUNDARY_PARAMETER_06,RECALIBRATE,0.0055149871275455,0.7092706411738658,0.1916613821997,0.1604909197934935,0.0865260536086118,1.0,0.5439181443304731,0.1604909197934935,ABSTAIN
BOUNDARY_PARAMETER_07,RECALIBRATE,0.0049873913639849,0.6687075993776365,0.3107787039856275,0.1861294970396417,0.0962041582133373,1.0,0.491883105426102,0.1861294970396417,ABSTAIN
BOUNDARY_PARAMETER_08,RECALIBRATE,0.0069932277971799,0.6847357384497726,0.2916607994701125,0.165142396829088,0.1401004397211869,1.0,0.49156746311720806,0.165142396829088,ABSTAIN
BOUNDARY_PARAMETER_09,RECALIBRATE,0.006218412833506,0.7604110812744947,0.2958148245682026,0.2270310892840301,0.2478416128742498,1.0,0.4420992379964815,0.2478416128742498,ABSTAIN
BOUNDARY_PARAMETER_10,RECALIBRATE,0.0033167666967968,0.68859881302794,0.3016008068125281,0.1146746600530568,0.2092321812920792,1.0,0.48207893117597783,0.2092321812920792,ABSTAIN
BOUNDARY_STRUCTURE_01,REVISE,0.0148326570626471,0.5098670816128512,0.708176958190764,0.222844765960359,0.5904758397773828,1.0,0.162272257620265,0.5932594843904967,REVISE
BOUNDARY_STRUCTURE_02,REVISE,0.0050796060481792,0.5758678763105051,0.5895431858692365,0.5258785088444391,0.564122163680117,1.0,0.11900830808124582,0.564122163680117,REVISE
BOUNDARY_STRUCTURE_03,REVISE,0.0169365303589375,0.553585183922528,0.6882137117926392,0.3808648949706902,0.2822747619595909,1.0,0.24599603405236525,0.5189158681111925,REVISE
BOUNDARY_STRUCTURE_04,REVISE,0.0123564712160554,0.4570957553351883,0.5674645766483974,0.4066186351751687,0.4143761383665666,1.0,0.158839991649427,0.4773285080322204,REVISE
BOUNDARY_STRUCTURE_05,REVISE,0.0057498016185989,0.4978163380939797,0.5659716252537379,0.4434290487961494,0.4676220213294499,1.0,0.14750602661195306,0.48248739963744974,REVISE
BOUNDARY_STRUCTURE_06,REVISE,0.0128950318128161,0.5247646206551881,0.5113566299301714,0.5041103073529667,0.3440151430490807,1.0,0.17070389978487613,0.5041103073529667,REVISE
BOUNDARY_STRUCTURE_07,REVISE,0.0077907575409383,0.5960766928148101,0.7263036279375843,0.4353512857357483,0.367115326759812,1.0,0.2130124868993575,0.5715918859065738,REVISE
BOUNDARY_STRUCTURE_08,REVISE,0.0152891381630493,0.7307510412632127,0.6932328071457996,0.4237607644949369,0.2759553882397408,1.0,0.3048860785172088,0.48187577507564033,REVISE
BOUNDARY_STRUCTURE_09,REVISE,0.0243464829156748,0.467613586396606,0.4715887329808071,0.4318380644265821,0.5695265179014227,1.0,0.1143682981871853,0.5695265179014227,REVISE
BOUNDARY_STRUCTURE_10,REVISE,0.0095769973408221,0.7052162995801634,0.7183507513684266,0.2290536221766322,0.6302154595480964,1.0,0.20104592024648074,0.6302154595480964,REVISE
BOUNDARY_QUALITY_01,ABSTAIN,0.0276289923020587,0.3519466284623914,0.8716248886373149,0.1491612407512829,0.2441150520535243,0.05,0.22634962118995136,0.6743329252745252,ABSTAIN
BOUNDARY_QUALITY_02,ABSTAIN,0.0225648954552714,0.5389833930195358,0.8576923373999574,0.2063200382068195,0.206013464635629,0.15,0.33965181320432813,0.5663755798306035,ABSTAIN
BOUNDARY_QUALITY_03,ABSTAIN,0.0164867005273195,0.438358079846717,0.9708263183945214,0.2894679039245549,0.2324088321270812,0.25,0.23907969079977917,0.7387214623724713,ABSTAIN
BOUNDARY_QUALITY_04,ABSTAIN,0.0336739191087047,0.5657450362934903,0.8833122677691169,0.2528728897642085,0.1512658918533798,0.35,0.3587458644406698,0.5664276446972366,ABSTAIN
BOUNDARY_QUALITY_05,ABSTAIN,0.0266925462508018,0.5595558683187511,0.9500061186729756,0.1673527586501433,0.2456537386228387,0.4499999999999999,0.351459465758969,0.6161174757364198,ABSTAIN
BOUNDARY_QUALITY_06,ABSTAIN,0.0346394092026859,0.5582457185064554,0.8374069315319459,0.1695322970185488,0.195227311141511,0.5499999999999999,0.37309667424481535,0.5249731903878211,ABSTAIN
BOUNDARY_QUALITY_07,ABSTAIN,0.0349754946490461,0.4139451657857907,0.8591426823995086,0.1443121961742954,0.2044739529830981,0.65,0.28178155467556854,0.6170521216648369,ABSTAIN
BOUNDARY_QUALITY_08,ABSTAIN,0.039363976903423,0.5633657605825051,0.8313509960300733,0.1530190287686745,0.2786023848397427,0.75,0.34422214308114324,0.5451815745239585,ABSTAIN
BOUNDARY_QUALITY_09,REVISE,0.0156021636681823,0.4929632184144786,0.8430823185130951,0.1114902551072568,0.2520094434265016,0.85,0.32762182608376367,0.5668701497829016,REVISE
BOUNDARY_QUALITY_10,REVISE,0.0343441963997665,0.5368719206662413,0.8669467717610612,0.256430479632864,0.2782710361120607,0.95,0.28811535465927357,0.6171660951444107,REVISE
BOUNDARY_LAGGED_01,REVISE,0.0196581509537732,0.3642849153017353,0.1673591909737163,0.7489849289495458,0.0985598671969019,1.0,0.0824285906966268,0.7489849289495458,REVISE
BOUNDARY_LAGGED_02,REVISE,0.0055661571079082,0.573898311870047,0.2192392744872272,0.7433312881897911,0.0294015244724696,1.0,0.142970844692009,0.7433312881897911,REVISE
BOUNDARY_LAGGED_03,REVISE,0.021179874744487,0.4582356107278059,0.2246842943060313,0.821418292750933,0.1228804775187034,1.0,0.07177688129387545,0.821418292750933,REVISE
BOUNDARY_LAGGED_04,REVISE,0.0124367137648019,0.2931352884693403,0.1987232695204851,0.7152727012602926,0.0152659149343171,1.0,0.08218947034566808,0.7152727012602926,REVISE
BOUNDARY_LAGGED_05,REVISE,0.0262131313085197,0.2754812536546804,0.1162888173171324,0.7725427688880564,0.0085037798645288,1.0,0.06212735460543514,0.7725427688880564,REVISE
BOUNDARY_LAGGED_06,REVISE,0.0069523519602579,0.4269230359831746,0.2383639211754582,0.9317354187103654,0.0643265324691937,1.0,0.02726900769585416,0.9317354187103654,REVISE
BOUNDARY_LAGGED_07,REVISE,0.0194316383357552,0.3475397806205775,0.2202560429857363,0.8683975339893685,0.2014494999657223,1.0,0.03652337781964198,0.8683975339893685,REVISE
BOUNDARY_LAGGED_08,REVISE,0.0169657093790775,0.551779947867931,0.2686383644937758,0.8310758809866021,0.1949393308622923,1.0,0.0750388528803058,0.8310758809866021,REVISE
BOUNDARY_LAGGED_09,REVISE,0.0293765397884614,0.4916045755152554,0.217556675327641,0.8294683721320277,0.12891919721779,1.0,0.07302629998042454,0.8294683721320277,REVISE
BOUNDARY_LAGGED_10,REVISE,0.024606484110361,0.4743191419030526,0.1008637213390913,0.8111750660787587,0.1345956090850683,1.0,0.07750845631971878,0.8111750660787587,REVISE
CONFLICTING_01,ABSTAIN,0.0084448063379177,0.7821303100594348,0.8244397317798287,0.5587577539785408,0.6228795524549328,0.4383750061958942,0.1301476359028806,0.7171408497442789,ABSTAIN
