Experiment,Q_evidence,Parameter_Gain,Structural_Gain,Decision
STRUCTURAL_QUALITY,1.0,0.15,0.85,REVISE
STRUCTURAL_QUALITY,0.95,0.15,0.85,REVISE
STRUCTURAL_QUALITY,0.9,0.15,0.85,REVISE
STRUCTURAL_QUALITY,0.85,0.15,0.85,REVISE
STRUCTURAL_QUALITY,0.8,0.15,0.85,REVISE
STRUCTURAL_QUALITY,0.75,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.7,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.65,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.6000000000000001,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.55,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.5,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.45000000000000007,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.4,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.3500000000000001,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.30000000000000004,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.2500000000000001,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.20000000000000007,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.15000000000000002,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.10000000000000009,0.15,0.85,ABSTAIN
STRUCTURAL_QUALITY,0.05,0.15,0.85,ABSTAIN
PARAMETER_STRENGTH,1.0,0.0,0.1,KEEP
PARAMETER_STRENGTH,1.0,0.05,0.1,KEEP
PARAMETER_STRENGTH,1.0,0.1,0.1,KEEP
PARAMETER_STRENGTH,1.0,0.15000000000000002,0.1,KEEP
PARAMETER_STRENGTH,1.0,0.2,0.1,KEEP
PARAMETER_STRENGTH,1.0,0.25,0.1,KEEP
PARAMETER_STRENGTH,1.0,0.30000000000000004,0.1,RECALIBRATE
PARAMETER_STRENGTH,1.0,0.35000000000000003,0.1,RECALIBRATE
PARAMETER_STRENGTH,1.0,0.4,0.1,RECALIBRATE
PARAMETER_STRENGTH,1.0,0.45,0.1,RECALIBRATE
PARAMETER_STRENGTH,1.0,0.5,0.1,RECALIBRATE
PARAMETER_STRENGTH,1.0,0.55,0.1,RECALIBRATE
PARAMETER_STRENGTH,1.0,0.6000000000000001,0.1,RECALIBRATE
PARAMETER_STRENGTH,1.0,0.65,0.1,RECALIBRATE
PARAMETER_STRENGTH,1.0,0.7000000000000001,0.1,RECALIBRATE
PARAMETER_STRENGTH,1.0,0.75,0.1,RECALIBRATE
PARAMETER_STRENGTH,1.0,0.8,0.1,RECALIBRATE
PARAMETER_STRENGTH,1.0,0.8500000000000001,0.1,RECALIBRATE
PARAMETER_STRENGTH,1.0,0.9,0.1,RECALIBRATE
STRUCTURAL_STRENGTH,1.0,0.1,0.0,KEEP
STRUCTURAL_STRENGTH,1.0,0.1,0.05,KEEP
STRUCTURAL_STRENGTH,1.0,0.1,0.1,KEEP
STRUCTURAL_STRENGTH,1.0,0.1,0.15000000000000002,KEEP
STRUCTURAL_STRENGTH,1.0,0.1,0.2,KEEP
STRUCTURAL_STRENGTH,1.0,0.1,0.25,KEEP
STRUCTURAL_STRENGTH,1.0,0.1,0.30000000000000004,REVISE
STRUCTURAL_STRENGTH,1.0,0.1,0.35000000000000003,REVISE
STRUCTURAL_STRENGTH,1.0,0.1,0.4,REVISE
STRUCTURAL_STRENGTH,1.0,0.1,0.45,REVISE
STRUCTURAL_STRENGTH,1.0,0.1,0.5,REVISE
STRUCTURAL_STRENGTH,1.0,0.1,0.55,REVISE
STRUCTURAL_STRENGTH,1.0,0.1,0.6000000000000001,REVISE
STRUCTURAL_STRENGTH,1.0,0.1,0.65,REVISE
STRUCTURAL_STRENGTH,1.0,0.1,0.7000000000000001,REVISE
STRUCTURAL_STRENGTH,1.0,0.1,0.75,REVISE
STRUCTURAL_STRENGTH,1.0,0.1,0.8,REVISE
STRUCTURAL_STRENGTH,1.0,0.1,0.8500000000000001,REVISE
STRUCTURAL_STRENGTH,1.0,0.1,0.9,REVISE
