Metric,Value
Observed_MAE_Gain,1.279008685716853e-05
Bootstrap_Mean_MAE_Gain,1.2335071156723459e-05
MAE_CI_Lower,-1.1749066116630468e-05
MAE_CI_Upper,3.664816100071058e-05
P_MAE_Gain_Positive,0.846
Observed_RMSE_Gain,3.0938216331843384e-05
Bootstrap_Mean_RMSE_Gain,3.0467148891248497e-05
RMSE_CI_Lower,-4.112307850456798e-06
RMSE_CI_Upper,6.23498070649483e-05
P_RMSE_Gain_Positive,0.9635
Observed_Structure_Reduction,-0.0036155175810062834
Bootstrap_Mean_Structure_Reduction,-0.002903468203270905
Structure_CI_Lower,-0.008759675387902902
Structure_CI_Upper,0.007005006759684367
P_Structure_Reduction_Positive,0.1445
