Discrepancy_Strength,Observation_Quality,RMSE,Residual_Rain_Correlation,Structural_Gain_Mean,Structural_Gain_CI_Lower,Structural_Gain_CI_Upper,Structural_Gain_P,ETMR_Decision
1.0,1.0,0.04002963524078455,0.977911121613841,0.0332070465590777,0.028879212663363636,0.037953102832951724,1.0,REVISE
1.0,0.8,0.04013478244864293,0.9757639350975823,0.03297304929673495,0.028838225929980445,0.03691273495123308,1.0,REVISE
1.0,0.6,0.040330669895199976,0.967548994214652,0.03206175500929141,0.027844061620063032,0.03632098796795558,1.0,ABSTAIN
1.0,0.4,0.040163848410853305,0.9595997119906493,0.031238349650959785,0.02658937109605788,0.03609015358794396,1.0,ABSTAIN
1.0,0.2,0.04125226421097123,0.9513717390450774,0.03091487042941906,0.02633947589339691,0.03579908034797886,1.0,ABSTAIN
0.75,1.0,0.030675619322058045,0.9624320534199016,0.023672014777748836,0.020438673086506823,0.026596344727953674,1.0,REVISE
0.75,0.8,0.03050091283687289,0.959662536321401,0.023583174167326602,0.02063211947905272,0.026762354879204826,1.0,REVISE
0.75,0.6,0.030680933633069264,0.9537926992091696,0.023286441130344473,0.020202781951484547,0.02693281419126577,1.0,ABSTAIN
0.75,0.4,0.031193466676747116,0.9358344239097698,0.022162268360265587,0.018618535829440515,0.02536174619116849,1.0,ABSTAIN
0.75,0.2,0.03148918160460417,0.9274190394433548,0.021920656345998882,0.018684273424952075,0.024925361597285582,1.0,ABSTAIN
0.5,1.0,0.021472361456969635,0.9236777839378707,0.014701010750353393,0.012619696548049068,0.016892322491622324,1.0,REVISE
0.5,0.8,0.021453645959981216,0.9201003574996378,0.01446348639508307,0.012270417108438021,0.01670359748569708,1.0,REVISE
0.5,0.6,0.021675491623844613,0.9014431371389542,0.01378531015977658,0.01121978623223872,0.016135262623960547,1.0,ABSTAIN
0.5,0.4,0.022533858317211684,0.873042528109543,0.013183904621234688,0.01077655736118698,0.01540922266094927,1.0,ABSTAIN
0.5,0.2,0.023285200188638056,0.8456305231568814,0.012868590278889817,0.010605707479443683,0.014890765823353518,1.0,ABSTAIN
0.3,1.0,0.014413844876068702,0.8326390511192051,0.007625393452664161,0.0062961245043283,0.00889482156499673,1.0,REVISE
0.3,0.8,0.014500743059656294,0.8331191314670839,0.007682967889341579,0.006421680180230641,0.009009085174619806,1.0,REVISE
0.3,0.6,0.01499662991783692,0.7809660023221617,0.007095205852936649,0.005832180444646214,0.008380177028780031,1.0,ABSTAIN
0.3,0.4,0.015243584857763658,0.7426544394501486,0.0063682193721332665,0.004874325007598192,0.00763547928773747,1.0,ABSTAIN
0.3,0.2,0.01680045368866584,0.6865767416464239,0.005883623951448605,0.004526068506069374,0.007356060168625811,1.0,ABSTAIN
0.15,1.0,0.009694793836193299,0.6355031205993482,0.002944386487746346,0.0022709019511578383,0.0036117613365228315,1.0,ABSTAIN
0.15,0.8,0.010021774900542488,0.6258466846137278,0.0029611800337893887,0.002244413607199307,0.0036142362536361067,1.0,ABSTAIN
0.15,0.6,0.010522265688752511,0.6170406137519905,0.0028075182759768743,0.002062804515547299,0.003490336040782431,1.0,ABSTAIN
0.15,0.4,0.011630001024167027,0.5518944532033748,0.0025249781419472875,0.0018471370330207287,0.0032032130125358646,1.0,ABSTAIN
0.15,0.2,0.012706037488337214,0.45825279984684103,0.002033526305684952,0.0013289648800650083,0.002722372872391803,1.0,ABSTAIN
0.05,1.0,0.007377789797492161,0.34659995720172965,0.000613286425070879,0.00034493988197483946,0.0009164550661371083,1.0,ABSTAIN
0.05,0.8,0.007482594876810718,0.3332957066260203,0.000587069904812821,0.00030513951539899264,0.0008864576372576406,1.0,ABSTAIN
0.05,0.6,0.00824391927310476,0.29650159060522147,0.0005398657907261425,0.00027794033368379307,0.0008072547121866005,1.0,ABSTAIN
0.05,0.4,0.00909113623855491,0.21841500519578627,0.000409800716684426,0.00015181632495377364,0.0006699825163833135,1.0,ABSTAIN
0.05,0.2,0.011091908842144137,0.22878073172083813,0.0004406647372519069,0.00017828571143954633,0.0007075877711354678,1.0,ABSTAIN
