Case_ID,Hidden_Ground_Truth,Strength,Observation_Quality,Observed_Structural_Evidence,ETMR_Decision
1,KEEP,0.05,1.0,0.46932938304788563,REVISE
2,KEEP,0.05,0.8,0.4693136395708208,REVISE
3,KEEP,0.05,0.6,0.4705061785367513,ABSTAIN
4,KEEP,0.05,0.4,0.4710686429859689,ABSTAIN
5,KEEP,0.05,0.2,0.46820390368431186,ABSTAIN
6,KEEP,0.15,1.0,0.47374933217629517,REVISE
7,KEEP,0.15,0.8,0.46065919303100467,REVISE
8,KEEP,0.15,0.6,0.48156672593458083,ABSTAIN
9,KEEP,0.15,0.4,0.4765669698674613,ABSTAIN
10,KEEP,0.15,0.2,0.46621926122585167,ABSTAIN
11,KEEP,0.3,1.0,0.45580115523348935,REVISE
12,KEEP,0.3,0.8,0.46990214012364717,REVISE
13,KEEP,0.3,0.6,0.4544467388431494,ABSTAIN
14,KEEP,0.3,0.4,0.47849186349246564,ABSTAIN
15,KEEP,0.3,0.2,0.4635867531493366,ABSTAIN
16,KEEP,0.5,1.0,0.46491689012471804,REVISE
17,KEEP,0.5,0.8,0.4394357790978526,REVISE
18,KEEP,0.5,0.6,0.4744401944098697,ABSTAIN
19,KEEP,0.5,0.4,0.47152754239200595,ABSTAIN
20,KEEP,0.5,0.2,0.4640697231604709,ABSTAIN
21,KEEP,0.75,1.0,0.4412244237158447,REVISE
22,KEEP,0.75,0.8,0.5048438713514861,REVISE
23,KEEP,0.75,0.6,0.44735012643366057,ABSTAIN
24,KEEP,0.75,0.4,0.4599970719943408,ABSTAIN
25,KEEP,0.75,0.2,0.4680027254324047,ABSTAIN
26,KEEP,1.0,1.0,0.4370068261751493,REVISE
27,KEEP,1.0,0.8,0.4856128555096445,REVISE
28,KEEP,1.0,0.6,0.47111956866947813,ABSTAIN
29,KEEP,1.0,0.4,0.5281005898356192,ABSTAIN
30,KEEP,1.0,0.2,0.3981964809960203,ABSTAIN
31,RECALIBRATE,0.05,1.0,0.4638289902876844,REVISE
32,RECALIBRATE,0.05,0.8,0.4184297662741099,REVISE
33,RECALIBRATE,0.05,0.6,0.4106577786603933,ABSTAIN
34,RECALIBRATE,0.05,0.4,0.4353561667422098,ABSTAIN
35,RECALIBRATE,0.05,0.2,0.4429179802070501,ABSTAIN
36,RECALIBRATE,0.15,1.0,0.40882774751294976,REVISE
37,RECALIBRATE,0.15,0.8,0.3811430348664948,REVISE
38,RECALIBRATE,0.15,0.6,0.41108671381496337,ABSTAIN
39,RECALIBRATE,0.15,0.4,0.3763802556271728,ABSTAIN
40,RECALIBRATE,0.15,0.2,0.42249933466471323,ABSTAIN
41,RECALIBRATE,0.3,1.0,0.31334101440177803,REVISE
42,RECALIBRATE,0.3,0.8,0.34585508020608846,REVISE
43,RECALIBRATE,0.3,0.6,0.35017543308067384,ABSTAIN
44,RECALIBRATE,0.3,0.4,0.3207469564746192,ABSTAIN
45,RECALIBRATE,0.3,0.2,0.287653342991495,ABSTAIN
46,RECALIBRATE,0.5,1.0,0.22192531590350686,KEEP
47,RECALIBRATE,0.5,0.8,0.23344872075713868,KEEP
48,RECALIBRATE,0.5,0.6,0.24657256628655919,ABSTAIN
49,RECALIBRATE,0.5,0.4,0.25779991687377557,ABSTAIN
50,RECALIBRATE,0.5,0.2,0.2806581327538823,ABSTAIN
51,RECALIBRATE,0.75,1.0,0.12897690685204066,KEEP
52,RECALIBRATE,0.75,0.8,0.1261537247770987,KEEP
53,RECALIBRATE,0.75,0.6,0.1407170348434567,ABSTAIN
54,RECALIBRATE,0.75,0.4,0.09783960846353684,ABSTAIN
55,RECALIBRATE,0.75,0.2,0.15281263705811482,ABSTAIN
56,RECALIBRATE,1.0,1.0,0.0034679005405995355,KEEP
57,RECALIBRATE,1.0,0.8,0.054496303091061266,KEEP
58,RECALIBRATE,1.0,0.6,0.004131490718299506,ABSTAIN
59,RECALIBRATE,1.0,0.4,0.02772217693351543,ABSTAIN
60,RECALIBRATE,1.0,0.2,0.014474967943284081,ABSTAIN
61,REVISE,0.05,1.0,1.0,REVISE
62,REVISE,0.05,0.8,1.0,REVISE
63,REVISE,0.05,0.6,1.0,ABSTAIN
64,REVISE,0.05,0.4,1.0,ABSTAIN
65,REVISE,0.05,0.2,0.9920476353737577,ABSTAIN
