Case_ID,Hidden_Ground_Truth,Strength,Observation_Quality,Parameter_Gain_Mean,Parameter_Gain_CI_Lower,Parameter_Gain_CI_Upper,Parameter_P,Parameter_Evidence,Structural_Gain_Mean,Structural_Gain_CI_Lower,Structural_Gain_CI_Upper,Structural_P,Structural_Evidence,ETMR_Decision
1,KEEP,0.25,1.0,-0.00019106557663170883,-0.00023302033574684194,-0.00015286112860286586,0.0,0.0,-0.0324778080913584,-0.037614873467263915,-0.02814604059889127,0.0,0.0,KEEP
2,KEEP,0.25,0.8,-0.00018968278169783568,-0.00023150153923734906,-0.00014854748482569344,0.0,0.0,-0.03250692785440627,-0.03694724015967694,-0.02831070829661492,0.0,0.0,KEEP
3,KEEP,0.25,0.6,-0.00019066269384757236,-0.00022843913860536957,-0.000154082154461277,0.0,0.0,-0.0323996527563515,-0.036918193337035214,-0.028185587705587007,0.0,0.0,ABSTAIN
4,KEEP,0.25,0.4,-0.0001900829014146392,-0.00023048340365974858,-0.0001522895641025482,0.0,0.0,-0.03247624035593167,-0.0370595623072296,-0.027927394211071318,0.0,0.0,ABSTAIN
5,KEEP,0.5,1.0,-0.00019124974361382508,-0.0002298847657531842,-0.00014952561812358228,0.0,0.0,-0.032280002014963526,-0.03707395579823336,-0.027550721267324423,0.0,0.0,KEEP
6,KEEP,0.5,0.8,-0.0001919417512130595,-0.00023275604969575704,-0.00015319570803472944,0.0,0.0,-0.032461129015988924,-0.0370458122294482,-0.02789068954018703,0.0,0.0,KEEP
7,KEEP,0.5,0.6,-0.00019183805663985841,-0.00023205444795947787,-0.00015277459126734926,0.0,0.0,-0.032394872763456505,-0.03720330270786716,-0.027759885754678828,0.0,0.0,ABSTAIN
8,KEEP,0.5,0.4,-0.00019233753180418405,-0.0002326148609302598,-0.00015218489038199232,0.0,0.0,-0.03247917322153711,-0.036997962317280586,-0.02767468419523377,0.0,0.0,ABSTAIN
9,KEEP,0.75,1.0,-0.00018975571449723533,-0.00023304915805896854,-0.0001496278706895433,0.0,0.0,-0.032414997222246,-0.037118593674026146,-0.02762872469732741,0.0,0.0,KEEP
10,KEEP,0.75,0.8,-0.00019132116898593497,-0.00023303124822223595,-0.00015405205075307715,0.0,0.0,-0.03244805263889074,-0.03708955664761477,-0.027826637534676357,0.0,0.0,KEEP
11,KEEP,0.75,0.6,-0.00019208537391237273,-0.00023299874715309882,-0.00015069118287473404,0.0,0.0,-0.032512410417981044,-0.03725261248008776,-0.028030978883094092,0.0,0.0,ABSTAIN
12,KEEP,0.75,0.4,-0.00019043857036645255,-0.0002298361666323934,-0.0001507947684145813,0.0,0.0,-0.032330444672549453,-0.036985700531839305,-0.02765813613479138,0.0,0.0,ABSTAIN
13,KEEP,1.0,1.0,-0.0001905439961935337,-0.0002276924657089261,-0.0001537544630687105,0.0,0.0,-0.03241139927025419,-0.037071867869918625,-0.02781494358083227,0.0,0.0,KEEP
14,KEEP,1.0,0.8,-0.00018965644427325828,-0.00023219720621540083,-0.00015196031340718652,0.0,0.0,-0.03240155316736956,-0.03709317415262746,-0.027908877778363244,0.0,0.0,KEEP
15,KEEP,1.0,0.6,-0.00018812806176185258,-0.00022763681107136721,-0.00015009313850334965,0.0,0.0,-0.032481616993151954,-0.0372767026918793,-0.0280673117399245,0.0,0.0,ABSTAIN
16,KEEP,1.0,0.4,-0.00019241010715668073,-0.00023214751238884748,-0.00015362036060992385,0.0,0.0,-0.032277115244814185,-0.03741992664110066,-0.02762801273084895,0.0,0.0,ABSTAIN
17,RECALIBRATE,0.25,1.0,-0.00016996549456675076,-0.00021101707170468757,-0.0001300359552983886,0.0,0.0,-0.03312258469137642,-0.037902691182844034,-0.028449849388833305,0.0,0.0,KEEP
18,RECALIBRATE,0.25,0.8,-0.00017223100264719872,-0.00021376594731199335,-0.00013088052092814282,0.0,0.0,-0.03309580286765454,-0.03845567299809749,-0.028094550160143235,0.0,0.0,KEEP
19,RECALIBRATE,0.25,0.6,-0.00017145879459550567,-0.00021498459078113922,-0.00012732647336287668,0.0,0.0,-0.03305037321419223,-0.037797333632630235,-0.02855748989777353,0.0,0.0,ABSTAIN
20,RECALIBRATE,0.25,0.4,-0.00017202664215099734,-0.00021431130489113107,-0.00012703588192462074,0.0,0.0,-0.03318749798767351,-0.0378707903684439,-0.028570872000975998,0.0,0.0,ABSTAIN
21,RECALIBRATE,0.5,1.0,-0.00022094406818589336,-0.00026212410537768013,-0.00018011244641167427,0.0,0.0,-0.03253728061220857,-0.037039738480162634,-0.02806504048104249,0.0,0.0,KEEP
22,RECALIBRATE,0.5,0.8,-0.0002198493279239296,-0.0002597146843378202,-0.0001821894039220888,0.0,0.0,-0.03248223985335991,-0.03741617976570697,-0.027817196306531233,0.0,0.0,KEEP
23,RECALIBRATE,0.5,0.6,-0.00021818621792983652,-0.00025942339007346425,-0.00018100626954842454,0.0,0.0,-0.03241604372563055,-0.036706933596269115,-0.028158066387687995,0.0,0.0,ABSTAIN
24,RECALIBRATE,0.5,0.4,-0.00022157274156599338,-0.00026017139176883874,-0.00018272636202482356,0.0,0.0,-0.032527283226810366,-0.03735754578185198,-0.028050712055234565,0.0,0.0,ABSTAIN
25,RECALIBRATE,0.75,1.0,-0.00023005117449606085,-0.00027120512694780085,-0.0001904533768115159,0.0,0.0,-0.03141878263814999,-0.03588119197338559,-0.0271207910311428,0.0,0.0,KEEP
26,RECALIBRATE,0.75,0.8,-0.0002310069707508627,-0.000272950782833724,-0.00019044505197810996,0.0,0.0,-0.03162359388076478,-0.036026407528538716,-0.027386130611046923,0.0,0.0,KEEP
27,RECALIBRATE,0.75,0.6,-0.00022944687693658721,-0.0002696617321141993,-0.00018810639290615748,0.0,0.0,-0.03141580945619564,-0.03619558607355771,-0.026803002800216007,0.0,0.0,ABSTAIN
28,RECALIBRATE,0.75,0.4,-0.00023135799982025446,-0.0002693872974694121,-0.00019138736110244897,0.0,0.0,-0.03137409904680868,-0.035802321864685106,-0.02744865030706443,0.0,0.0,ABSTAIN
29,RECALIBRATE,1.0,1.0,-0.00023465808267274913,-0.00027326225906710666,-0.00019339980238395563,0.0,0.0,-0.0306070938017006,-0.03489482110659006,-0.02661421777601431,0.0,0.0,KEEP
30,RECALIBRATE,1.0,0.8,-0.00023575525314343472,-0.0002741606036694644,-0.00019709103394038968,0.0,0.0,-0.030617800946954887,-0.03509520962377895,-0.0263279317406473,0.0,0.0,KEEP
31,RECALIBRATE,1.0,0.6,-0.0002360544695726277,-0.0002719412966093954,-0.00019531496846069958,0.0,0.0,-0.030556349278037048,-0.03491494216387664,-0.026160098960241036,0.0,0.0,ABSTAIN
32,RECALIBRATE,1.0,0.4,-0.00023492662997603818,-0.0002703676707284606,-0.00019931803352731954,0.0,0.0,-0.030622329857963107,-0.035237785657624435,-0.02656180454964394,0.0,0.0,ABSTAIN
33,REVISE,0.25,1.0,0.0002380302562587896,0.00019864688011066723,0.00028277976675327034,1.0,1.0,-0.015209482174348277,-0.01886324129419371,-0.011858807744410508,0.0,0.0,RECALIBRATE
34,REVISE,0.25,0.8,0.0002385003636923649,0.00019622852733037019,0.0002793839811021269,1.0,1.0,-0.015249968760675671,-0.018696603036288752,-0.012046808369519353,0.0,0.0,RECALIBRATE
35,REVISE,0.25,0.6,0.000234618564800915,0.0001931102906917984,0.0002783345066030788,1.0,1.0,-0.015055439634815482,-0.018850077787665304,-0.011808155505067077,0.0,0.0,ABSTAIN
36,REVISE,0.25,0.4,0.00023221617330875882,0.00018886639666938253,0.0002775953331819495,1.0,1.0,-0.01512120417998532,-0.018560789939876976,-0.011695499136968903,0.0,0.0,ABSTAIN
37,REVISE,0.5,1.0,0.0002649897768186034,0.00022213934713925348,0.0003058769434689388,1.0,1.0,0.0026381565840961543,0.0004572733781892583,0.005048624612847591,0.989,0.978,RECALIBRATE
