case,truth,quality,baseline_rmse,parameter_relative_gain,structural_relative_gain
KEEP_1,KEEP,1.0,0.006806773148833937,0.007843797016508698,0.0
RECALIBRATE_1,RECALIBRATE,1.0,0.006393115436382134,-0.005772565615332826,0.0
REVISE_1,REVISE,1.0,0.03139870705185863,0.008688916407893214,0.7832148585738976
ABSTAIN_1,ABSTAIN,0.4965387004071817,0.054314659102958164,0.005096983441842007,0.8746788940361183
KEEP_2,KEEP,1.0,0.006756731132033264,0.007859692335772932,0.0
RECALIBRATE_2,RECALIBRATE,1.0,0.006295185143588767,-0.027817134298637067,0.0
REVISE_2,REVISE,1.0,0.06244103187277886,0.004439519657982588,0.8917902070260493
ABSTAIN_2,ABSTAIN,0.5535848424023279,0.04755325473890738,0.005806534927248772,0.8579123307304347
KEEP_3,KEEP,1.0,0.006714483033652714,0.008248423112305364,0.0
RECALIBRATE_3,RECALIBRATE,1.0,0.006180537786985226,-0.017479972206282286,0.0
REVISE_3,REVISE,1.0,0.04515284505570833,0.0061102812699612725,0.8512943530940615
ABSTAIN_3,ABSTAIN,0.4540158170945608,0.05614350594028353,0.004931965137214739,0.8804049921500358
KEEP_4,KEEP,1.0,0.0067792830795583596,0.007658502824727697,0.0
RECALIBRATE_4,RECALIBRATE,1.0,0.006260627195405054,-0.018431951011265154,0.0
REVISE_4,REVISE,1.0,0.057642147365040065,0.00480296623593047,0.8823901712643344
ABSTAIN_4,ABSTAIN,0.6161849995432057,0.06071924040750482,0.0045625044717635035,0.8883503312284445
KEEP_5,KEEP,1.0,0.006735228114073422,0.008033236252687856,0.0
RECALIBRATE_5,RECALIBRATE,1.0,0.0062322347411816895,-0.012759404544718097,0.0
REVISE_5,REVISE,1.0,0.02870527928171548,0.009469945007803517,0.7653662224299072
ABSTAIN_5,ABSTAIN,0.5265095129897641,0.05453556995345334,0.00507814196070538,0.8764984372617357
KEEP_6,KEEP,1.0,0.006791512305373358,0.0077140389729559835,0.0
RECALIBRATE_6,RECALIBRATE,1.0,0.006357138423643033,-0.007431827218776028,0.0
REVISE_6,REVISE,1.0,0.045067457623182074,0.0061152859511588815,0.8493034073020375
ABSTAIN_6,ABSTAIN,0.5670849116462204,0.04205130531121615,0.006543104043071342,0.8384946137792805
KEEP_7,KEEP,1.0,0.006712975802166237,0.008385409221847722,0.0
RECALIBRATE_7,RECALIBRATE,1.0,0.006177998258479639,-0.022031458320650815,0.0
REVISE_7,REVISE,1.0,0.032155475617720225,0.00850264012312421,0.7912338202683326
ABSTAIN_7,ABSTAIN,0.5855898301092936,0.06287478088190973,0.004412483691627218,0.8932326171478129
KEEP_8,KEEP,1.0,0.006748502133184919,0.007751370846227123,0.0
RECALIBRATE_8,RECALIBRATE,1.0,0.0062481022927191,-0.02399004109062929,0.0
REVISE_8,REVISE,1.0,0.05910501360955934,0.004687738411934084,0.8858218326830153
ABSTAIN_8,ABSTAIN,0.6331064650044266,0.05708805948101861,0.004851280251786799,0.88178785205637
KEEP_9,KEEP,1.0,0.006771192700485897,0.008271716587101807,0.0
RECALIBRATE_9,RECALIBRATE,1.0,0.00635439996277264,-0.031055817994244287,0.0
REVISE_9,REVISE,1.0,0.04727087735444489,0.005842773024487399,0.8567576258482708
ABSTAIN_9,ABSTAIN,0.4944747639452818,0.03316985471790713,0.008244258886083922,0.7958630582475723
KEEP_10,KEEP,1.0,0.006743800256387931,0.007784704751675019,0.0
RECALIBRATE_10,RECALIBRATE,1.0,0.006386106427706281,-0.032439046001774365,0.0
REVISE_10,REVISE,1.0,0.04371131426476846,0.006305254019779396,0.8457195723848674
ABSTAIN_10,ABSTAIN,0.62797742384771,0.045789960782308646,0.006025072957320204,0.8527231702938375
