case,truth,quality,baseline_rmse,parameter_relative_gain,structural_relative_gain,decision
KEEP_1,KEEP,1.0,0.0068067731488339,0.0078437970165086,0.0,RECALIBRATE
RECALIBRATE_1,RECALIBRATE,1.0,0.0063931154363821,-0.0057725656153328,0.0,KEEP
REVISE_1,REVISE,1.0,0.0313987070518586,0.0086889164078932,0.7832148585738976,REVISE
ABSTAIN_1,ABSTAIN,0.4965387004071817,0.0543146591029581,0.005096983441842,0.8746788940361183,ABSTAIN
KEEP_2,KEEP,1.0,0.0067567311320332,0.0078596923357729,0.0,RECALIBRATE
RECALIBRATE_2,RECALIBRATE,1.0,0.0062951851435887,-0.027817134298637,0.0,KEEP
REVISE_2,REVISE,1.0,0.0624410318727788,0.0044395196579825,0.8917902070260493,REVISE
ABSTAIN_2,ABSTAIN,0.5535848424023279,0.0475532547389073,0.0058065349272487,0.8579123307304347,ABSTAIN
KEEP_3,KEEP,1.0,0.0067144830336527,0.0082484231123053,0.0,RECALIBRATE
RECALIBRATE_3,RECALIBRATE,1.0,0.0061805377869852,-0.0174799722062822,0.0,KEEP
REVISE_3,REVISE,1.0,0.0451528450557083,0.0061102812699612,0.8512943530940615,REVISE
ABSTAIN_3,ABSTAIN,0.4540158170945608,0.0561435059402835,0.0049319651372147,0.8804049921500358,ABSTAIN
KEEP_4,KEEP,1.0,0.0067792830795583,0.0076585028247276,0.0,RECALIBRATE
RECALIBRATE_4,RECALIBRATE,1.0,0.006260627195405,-0.0184319510112651,0.0,KEEP
REVISE_4,REVISE,1.0,0.05764214736504,0.0048029662359304,0.8823901712643344,REVISE
ABSTAIN_4,ABSTAIN,0.6161849995432057,0.0607192404075048,0.0045625044717635,0.8883503312284445,ABSTAIN
KEEP_5,KEEP,1.0,0.0067352281140734,0.0080332362526878,0.0,RECALIBRATE
RECALIBRATE_5,RECALIBRATE,1.0,0.0062322347411816,-0.012759404544718,0.0,KEEP
REVISE_5,REVISE,1.0,0.0287052792817154,0.0094699450078035,0.7653662224299072,REVISE
ABSTAIN_5,ABSTAIN,0.5265095129897641,0.0545355699534533,0.0050781419607053,0.8764984372617357,ABSTAIN
KEEP_6,KEEP,1.0,0.0067915123053733,0.0077140389729559,0.0,RECALIBRATE
RECALIBRATE_6,RECALIBRATE,1.0,0.006357138423643,-0.007431827218776,0.0,KEEP
REVISE_6,REVISE,1.0,0.045067457623182,0.0061152859511588,0.8493034073020375,REVISE
ABSTAIN_6,ABSTAIN,0.5670849116462204,0.0420513053112161,0.0065431040430713,0.8384946137792805,ABSTAIN
KEEP_7,KEEP,1.0,0.0067129758021662,0.0083854092218477,0.0,RECALIBRATE
RECALIBRATE_7,RECALIBRATE,1.0,0.0061779982584796,-0.0220314583206508,0.0,KEEP
REVISE_7,REVISE,1.0,0.0321554756177202,0.0085026401231242,0.7912338202683326,REVISE
ABSTAIN_7,ABSTAIN,0.5855898301092936,0.0628747808819097,0.0044124836916272,0.8932326171478129,ABSTAIN
KEEP_8,KEEP,1.0,0.0067485021331849,0.0077513708462271,0.0,RECALIBRATE
RECALIBRATE_8,RECALIBRATE,1.0,0.0062481022927191,-0.0239900410906292,0.0,KEEP
REVISE_8,REVISE,1.0,0.0591050136095593,0.004687738411934,0.8858218326830153,REVISE
ABSTAIN_8,ABSTAIN,0.6331064650044266,0.0570880594810186,0.0048512802517867,0.88178785205637,ABSTAIN
KEEP_9,KEEP,1.0,0.0067711927004858,0.0082717165871018,0.0,RECALIBRATE
RECALIBRATE_9,RECALIBRATE,1.0,0.0063543999627726,-0.0310558179942442,0.0,KEEP
REVISE_9,REVISE,1.0,0.0472708773544448,0.0058427730244873,0.8567576258482708,REVISE
ABSTAIN_9,ABSTAIN,0.4944747639452818,0.0331698547179071,0.0082442588860839,0.7958630582475723,ABSTAIN
KEEP_10,KEEP,1.0,0.0067438002563879,0.007784704751675,0.0,RECALIBRATE
RECALIBRATE_10,RECALIBRATE,1.0,0.0063861064277062,-0.0324390460017743,0.0,KEEP
REVISE_10,REVISE,1.0,0.0437113142647684,0.0063052540197793,0.8457195723848674,REVISE
ABSTAIN_10,ABSTAIN,0.62797742384771,0.0457899607823086,0.0060250729573202,0.8527231702938375,ABSTAIN
