case,truth,alpha_case,baseline_rmse,parameter_relative_gain,structural_relative_gain
KEEP_1,KEEP,1.0406072123884011,0.006806773148833937,0.011992348888324114,0.0
RECALIBRATE_1,RECALIBRATE,0.9873237061103416,0.006393115436382134,0.0013176930174370008,0.0
REVISE_1,REVISE,1.767567434056153,0.03139870705185863,0.22561037531923858,0.7832148585738976
KEEP_2,KEEP,1.039974545830584,0.006739463090094866,0.011854049089567859,0.0
RECALIBRATE_2,RECALIBRATE,0.9508119279043212,0.006221265004832044,0.021161692363846532,0.0
REVISE_2,REVISE,2.067513804337424,0.04329272703477684,0.23013061770450347,0.8443280534238212
KEEP_3,KEEP,1.04042395012206,0.006756427411403433,0.012062548120817945,0.0
RECALIBRATE_3,RECALIBRATE,0.9152944668751033,0.006270878081105559,0.06310432456557916,0.0
REVISE_3,REVISE,1.800007281113609,0.03269407003957027,0.2261111652479789,0.7933439488192813
KEEP_4,KEEP,1.0399548795868419,0.006739170969217399,0.01184335125804851,0.0
RECALIBRATE_4,RECALIBRATE,0.8950140757720296,0.006344893389749591,0.0963437322509655,0.0
REVISE_4,REVISE,2.4311898293223173,0.05784134835622701,0.2319667537757562,0.883488695185442
KEEP_5,KEEP,1.0415142325886952,0.00677768264332047,0.012646048780576255,0.0
RECALIBRATE_5,RECALIBRATE,0.9248132627411925,0.006256503552331758,0.049601433055678504,0.0
REVISE_5,REVISE,2.546328103136321,0.06244073612666497,0.23242813354316136,0.8914541521488228
KEEP_6,KEEP,1.0399548078379481,0.006780610709071917,0.011698135747638276,0.0
RECALIBRATE_6,RECALIBRATE,0.9242466459046751,0.006275869893065479,0.05005317229670605,0.0
REVISE_6,REVISE,1.7424275425863802,0.030436895308012992,0.22448161704174402,0.7772239697756949
KEEP_7,KEEP,1.0422459227581953,0.006811391848820245,0.012968556468523008,0.0
RECALIBRATE_7,RECALIBRATE,0.9082467222607773,0.006329378823759529,0.0730550416539086,0.0
REVISE_7,REVISE,2.099309932396942,0.044546322736598434,0.2305571234116098,0.8470941835290001
KEEP_8,KEEP,1.0391898312879868,0.0067338702001673535,0.011409601446528082,0.0
RECALIBRATE_8,RECALIBRATE,0.9666807258097943,0.00625325266440625,0.009554928027413827,0.0
REVISE_8,REVISE,2.1362899581180748,0.046051588623184765,0.23047932256090284,0.8537755069587942
KEEP_9,KEEP,1.0400717938046724,0.006754983353578699,0.011857139242500654,0.0
RECALIBRATE_9,RECALIBRATE,0.9703923956554957,0.0062765524932513975,0.007481010141118377,0.0
REVISE_9,REVISE,2.2633947025769374,0.05111601123812005,0.23138143861177468,0.8678499517086511
KEEP_10,KEEP,1.0407838888102645,0.006777778469651934,0.012201936809969763,0.0
RECALIBRATE_10,RECALIBRATE,0.9536146695424824,0.0062543273436866725,0.018596260533424083,0.0
REVISE_10,REVISE,1.8977746180349124,0.036524495688210104,0.22846215026705194,0.8144319766243956
