case,truth,alpha_case,baseline_rmse,parameter_relative_gain,structural_relative_gain,structural_advantage,parameter_advantage,predicted
KEEP_1,KEEP,1.0406072123884011,0.0068067731488339,0.0119923488883241,0.0,-0.0119923488883241,0.0119923488883241,RECALIBRATE
RECALIBRATE_1,RECALIBRATE,0.9873237061103416,0.0063931154363821,0.001317693017437,0.0,-0.001317693017437,0.001317693017437,KEEP
REVISE_1,REVISE,1.767567434056153,0.0313987070518586,0.2256103753192385,0.7832148585738976,0.5576044832546592,-0.5576044832546592,REVISE
KEEP_2,KEEP,1.039974545830584,0.0067394630900948,0.0118540490895678,0.0,-0.0118540490895678,0.0118540490895678,RECALIBRATE
RECALIBRATE_2,RECALIBRATE,0.9508119279043212,0.006221265004832,0.0211616923638465,0.0,-0.0211616923638465,0.0211616923638465,RECALIBRATE
REVISE_2,REVISE,2.067513804337424,0.0432927270347768,0.2301306177045034,0.8443280534238212,0.6141974357193178,-0.6141974357193178,REVISE
KEEP_3,KEEP,1.04042395012206,0.0067564274114034,0.0120625481208179,0.0,-0.0120625481208179,0.0120625481208179,RECALIBRATE
RECALIBRATE_3,RECALIBRATE,0.9152944668751032,0.0062708780811055,0.0631043245655791,0.0,-0.0631043245655791,0.0631043245655791,RECALIBRATE
REVISE_3,REVISE,1.800007281113609,0.0326940700395702,0.2261111652479789,0.7933439488192813,0.5672327835713024,-0.5672327835713024,REVISE
KEEP_4,KEEP,1.039954879586842,0.0067391709692173,0.0118433512580485,0.0,-0.0118433512580485,0.0118433512580485,RECALIBRATE
RECALIBRATE_4,RECALIBRATE,0.8950140757720296,0.0063448933897495,0.0963437322509655,0.0,-0.0963437322509655,0.0963437322509655,RECALIBRATE
REVISE_4,REVISE,2.4311898293223173,0.057841348356227,0.2319667537757562,0.883488695185442,0.6515219414096858,-0.6515219414096858,REVISE
KEEP_5,KEEP,1.0415142325886952,0.0067776826433204,0.0126460487805762,0.0,-0.0126460487805762,0.0126460487805762,RECALIBRATE
RECALIBRATE_5,RECALIBRATE,0.9248132627411924,0.0062565035523317,0.0496014330556785,0.0,-0.0496014330556785,0.0496014330556785,RECALIBRATE
REVISE_5,REVISE,2.546328103136321,0.0624407361266649,0.2324281335431613,0.8914541521488228,0.6590260186056616,-0.6590260186056616,REVISE
KEEP_6,KEEP,1.039954807837948,0.0067806107090719,0.0116981357476382,0.0,-0.0116981357476382,0.0116981357476382,RECALIBRATE
RECALIBRATE_6,RECALIBRATE,0.9242466459046752,0.0062758698930654,0.050053172296706,0.0,-0.050053172296706,0.050053172296706,RECALIBRATE
REVISE_6,REVISE,1.7424275425863802,0.0304368953080129,0.224481617041744,0.7772239697756949,0.5527423527339509,-0.5527423527339509,REVISE
KEEP_7,KEEP,1.0422459227581953,0.0068113918488202,0.012968556468523,0.0,-0.012968556468523,0.012968556468523,RECALIBRATE
RECALIBRATE_7,RECALIBRATE,0.9082467222607772,0.0063293788237595,0.0730550416539086,0.0,-0.0730550416539086,0.0730550416539086,RECALIBRATE
REVISE_7,REVISE,2.099309932396942,0.0445463227365984,0.2305571234116098,0.8470941835290001,0.6165370601173903,-0.6165370601173903,REVISE
KEEP_8,KEEP,1.0391898312879868,0.0067338702001673,0.011409601446528,0.0,-0.011409601446528,0.011409601446528,RECALIBRATE
RECALIBRATE_8,RECALIBRATE,0.9666807258097944,0.0062532526644062,0.0095549280274138,0.0,-0.0095549280274138,0.0095549280274138,RECALIBRATE
REVISE_8,REVISE,2.1362899581180748,0.0460515886231847,0.2304793225609028,0.8537755069587942,0.6232961843978915,-0.6232961843978915,REVISE
KEEP_9,KEEP,1.0400717938046724,0.0067549833535786,0.0118571392425006,0.0,-0.0118571392425006,0.0118571392425006,RECALIBRATE
RECALIBRATE_9,RECALIBRATE,0.9703923956554956,0.0062765524932513,0.0074810101411183,0.0,-0.0074810101411183,0.0074810101411183,RECALIBRATE
REVISE_9,REVISE,2.263394702576937,0.05111601123812,0.2313814386117746,0.8678499517086511,0.6364685130968765,-0.6364685130968765,REVISE
KEEP_10,KEEP,1.0407838888102643,0.0067777784696519,0.0122019368099697,0.0,-0.0122019368099697,0.0122019368099697,RECALIBRATE
RECALIBRATE_10,RECALIBRATE,0.9536146695424824,0.0062543273436866,0.018596260533424,0.0,-0.018596260533424,0.018596260533424,RECALIBRATE
REVISE_10,REVISE,1.8977746180349124,0.0365244956882101,0.2284621502670519,0.8144319766243956,0.5859698263573436,-0.5859698263573436,REVISE
