case,truth,alpha_case,baseline_rmse,parameter_relative_gain,structural_relative_gain,structural_advantage,parameter_advantage,parameter_z,parameter_excess
KEEP_1,KEEP,1.0406072123884011,0.0068067731488339,0.0119923488883241,0.0,-0.0119923488883241,0.0119923488883241,-0.1335983423754582,-0.00083107912062284
RECALIBRATE_1,RECALIBRATE,0.9873237061103416,0.0063931154363821,0.001317693017437,0.0,-0.001317693017437,0.001317693017437,-23.503858944340298,-0.01150573499150994
REVISE_1,REVISE,1.767567434056153,0.0313987070518586,0.2256103753192385,0.7832148585738976,0.5576044832546592,-0.5576044832546592,467.54507976689877,0.21278694731029155
KEEP_2,KEEP,1.039974545830584,0.0067394630900948,0.0118540490895678,0.0,-0.0118540490895678,0.0118540490895678,-0.43638115591316845,-0.0009693789193791404
RECALIBRATE_2,RECALIBRATE,0.9508119279043212,0.006221265004832,0.0211616923638465,0.0,-0.0211616923638465,0.0211616923638465,19.94104848125805,0.008338264354899561
REVISE_2,REVISE,2.067513804337424,0.0432927270347768,0.2301306177045034,0.8443280534238212,0.6141974357193178,-0.6141974357193178,477.44134656982186,0.21730718969555646
KEEP_3,KEEP,1.04042395012206,0.0067564274114034,0.0120625481208179,0.0,-0.0120625481208179,0.0120625481208179,0.02009039263213618,-0.0007608798881290398
RECALIBRATE_3,RECALIBRATE,0.9152944668751032,0.0062708780811055,0.0631043245655791,0.0,-0.0631043245655791,0.0631043245655791,111.76698242636746,0.05028089655663216
REVISE_3,REVISE,1.800007281113609,0.0326940700395702,0.2261111652479789,0.7933439488192813,0.5672327835713024,-0.5672327835713024,468.6414702532114,0.21328773723903194
KEEP_4,KEEP,1.039954879586842,0.0067391709692173,0.0118433512580485,0.0,-0.0118433512580485,0.0118433512580485,-0.45980215547567516,-0.0009800767508984405
RECALIBRATE_4,RECALIBRATE,0.8950140757720296,0.0063448933897495,0.0963437322509655,0.0,-0.0963437322509655,0.0963437322509655,184.53875411233165,0.08352030424201856
REVISE_4,REVISE,2.4311898293223173,0.057841348356227,0.2319667537757562,0.883488695185442,0.6515219414096858,-0.6515219414096858,481.4612399513852,0.21914332576680925
KEEP_5,KEEP,1.0415142325886952,0.0067776826433204,0.0126460487805762,0.0,-0.0126460487805762,0.0126460487805762,1.297561314871489,-0.0001773792283707408
RECALIBRATE_5,RECALIBRATE,0.9248132627411924,0.0062565035523317,0.0496014330556785,0.0,-0.0496014330556785,0.0496014330556785,82.20480287853994,0.03677800504673156
REVISE_5,REVISE,2.546328103136321,0.0624407361266649,0.2324281335431613,0.8914541521488228,0.6590260186056616,-0.6590260186056616,482.4713488983292,0.21960470553421435
KEEP_6,KEEP,1.039954807837948,0.0067806107090719,0.0116981357476382,0.0,-0.0116981357476382,0.0116981357476382,-0.7777256897595033,-0.0011252922613087402
RECALIBRATE_6,RECALIBRATE,0.9242466459046752,0.0062758698930654,0.050053172296706,0.0,-0.050053172296706,0.050053172296706,83.19380560749342,0.03722974428775906
REVISE_6,REVISE,1.7424275425863802,0.0304368953080129,0.224481617041744,0.7772239697756949,0.5527423527339509,-0.5527423527339509,465.0738642616181,0.21165818903279704
KEEP_7,KEEP,1.0422459227581953,0.0068113918488202,0.012968556468523,0.0,-0.012968556468523,0.012968556468523,2.003634541457626,0.0001451284595760608
RECALIBRATE_7,RECALIBRATE,0.9082467222607772,0.0063293788237595,0.0730550416539086,0.0,-0.0730550416539086,0.0730550416539086,133.55230781235196,0.06023161364496166
REVISE_7,REVISE,2.099309932396942,0.0445463227365984,0.2305571234116098,0.8470941835290001,0.6165370601173903,-0.6165370601173903,478.3751049638968,0.21773369540266285
KEEP_8,KEEP,1.0391898312879868,0.0067338702001673,0.011409601446528,0.0,-0.011409601446528,0.011409601446528,-1.4094202278421417,-0.0014138265624189395
RECALIBRATE_8,RECALIBRATE,0.9666807258097944,0.0062532526644062,0.0095549280274138,0.0,-0.0095549280274138,0.0095549280274138,-5.469897835785299,-0.0032684999815331406
REVISE_8,REVISE,2.1362899581180748,0.0460515886231847,0.2304793225609028,0.8537755069587942,0.6232961843978915,-0.6232961843978915,478.2047738377163,0.21765589455195586
KEEP_9,KEEP,1.0400717938046724,0.0067549833535786,0.0118571392425006,0.0,-0.0118571392425006,0.0118571392425006,-0.42961581563307194,-0.0009662887664463396
RECALIBRATE_9,RECALIBRATE,0.9703923956554956,0.0062765524932513,0.0074810101411183,0.0,-0.0074810101411183,0.0074810101411183,-10.010372213229942,-0.00534241786782864
REVISE_9,REVISE,2.263394702576937,0.05111601123812,0.2313814386117746,0.8678499517086511,0.6364685130968765,-0.6364685130968765,480.1797964948483,0.21855801060282765
KEEP_10,KEEP,1.0407838888102643,0.0067777784696519,0.0122019368099697,0.0,-0.0122019368099697,0.0122019368099697,0.3252571380377785,-0.0006214911989772393
RECALIBRATE_10,RECALIBRATE,0.9536146695424824,0.0062543273436866,0.018596260533424,0.0,-0.018596260533424,0.018596260533424,14.324491736130202,0.005772832524477059
REVISE_10,REVISE,1.8977746180349124,0.0365244956882101,0.2284621502670519,0.8144319766243956,0.5859698263573436,-0.5859698263573436,473.7885338430455,0.21563872225810496
