case,truth,alpha_case,baseline_rmse,parameter_relative_gain,structural_relative_gain,structural_advantage,parameter_advantage,alpha_deviation,alpha_relative_deviation,alpha_z
KEEP_1,KEEP,1.0406072123884011,0.0068067731488339,0.0119923488883241,0.0,-0.0119923488883241,0.0119923488883241,0.00013510588683640634,0.00012985056109834613,0.1538853092029139
RECALIBRATE_1,RECALIBRATE,0.9873237061103416,0.0063931154363821,0.001317693017437,0.0,-0.001317693017437,0.001317693017437,0.05314840039122315,0.051081042979544036,-60.53591164200666
REVISE_1,REVISE,1.767567434056153,0.0313987070518586,0.2256103753192385,0.7832148585738976,0.5576044832546592,-0.5576044832546592,0.7270953275545882,0.6988128975406557,828.1599856282613
KEEP_2,KEEP,1.039974545830584,0.0067394630900948,0.0118540490895678,0.0,-0.0118540490895678,0.0118540490895678,0.0004975606709807234,0.00047820664088122305,-0.566720514508667
RECALIBRATE_2,RECALIBRATE,0.9508119279043212,0.006221265004832,0.0211616923638465,0.0,-0.0211616923638465,0.0211616923638465,0.08966017859724351,0.08617259226555601,-102.12274705196181
REVISE_2,REVISE,2.067513804337424,0.0432927270347768,0.2301306177045034,0.8443280534238212,0.6141974357193178,-0.6141974357193178,1.0270416978358594,0.9870920050794412,1169.7982444475456
KEEP_3,KEEP,1.04042395012206,0.0067564274114034,0.0120625481208179,0.0,-0.0120625481208179,0.0120625481208179,4.815637950472684e-05,4.6283200869887446e-05,-0.054850010785620844
RECALIBRATE_3,RECALIBRATE,0.9152944668751032,0.0062708780811055,0.0631043245655791,0.0,-0.0631043245655791,0.0631043245655791,0.12517763962646156,0.1203085011546855,-142.57705737525464
REVISE_3,REVISE,1.800007281113609,0.0326940700395702,0.2261111652479789,0.7933439488192813,0.5672327835713024,-0.5672327835713024,0.7595351746120442,0.7299909049612777,865.1089003781898
KEEP_4,KEEP,1.039954879586842,0.0067391709692173,0.0118433512580485,0.0,-0.0118433512580485,0.0118433512580485,0.0005172269147226682,0.0004971079104290148,-0.5891203230584863
RECALIBRATE_4,RECALIBRATE,0.8950140757720296,0.0063448933897495,0.0963437322509655,0.0,-0.0963437322509655,0.0963437322509655,0.14545803072953511,0.13980002906432204,-165.67637842431745
REVISE_4,REVISE,2.4311898293223173,0.057841348356227,0.2319667537757562,0.883488695185442,0.6515219414096858,-0.6515219414096858,1.3907177228207526,1.3366218220850123,1584.0244403959998
KEEP_5,KEEP,1.0415142325886952,0.0067776826433204,0.0126460487805762,0.0,-0.0126460487805762,0.0126460487805762,0.0010421260871305016,0.0010015896443725898,1.1869793308168899
RECALIBRATE_5,RECALIBRATE,0.9248132627411924,0.0062565035523317,0.0496014330556785,0.0,-0.0496014330556785,0.0496014330556785,0.11565884376037239,0.11115996578635667,-131.7351697314822
REVISE_5,REVISE,2.546328103136321,0.0624407361266649,0.2324281335431613,0.8914541521488228,0.6590260186056616,-0.6590260186056616,1.5058559966347564,1.4472814669659688,1715.1666820987007
KEEP_6,KEEP,1.039954807837948,0.0067806107090719,0.0116981357476382,0.0,-0.0116981357476382,0.0116981357476382,0.0005172986636168275,0.000497176868446929,-0.589202044891792
RECALIBRATE_6,RECALIBRATE,0.9242466459046752,0.0062758698930654,0.050053172296706,0.0,-0.050053172296706,0.050053172296706,0.11622546059688954,0.11170454245782778,-132.38054506729267
REVISE_6,REVISE,1.7424275425863802,0.0304368953080129,0.224481617041744,0.7772239697756949,0.5527423527339509,-0.5527423527339509,0.7019554360848155,0.6746508932805877,799.5257043046203
KEEP_7,KEEP,1.0422459227581953,0.0068113918488202,0.012968556468523,0.0,-0.012968556468523,0.012968556468523,0.0017738162566305338,0.001704818654480543,2.0203728313575646
RECALIBRATE_7,RECALIBRATE,0.9082467222607772,0.0063293788237595,0.0730550416539086,0.0,-0.0730550416539086,0.0730550416539086,0.13222538424078756,0.1270821038012985,-150.60442305527087
REVISE_7,REVISE,2.099309932396942,0.0445463227365984,0.2305571234116098,0.8470941835290001,0.6165370601173903,-0.6165370601173903,1.0588378258953774,1.0176513327738932,1206.0139646686714
KEEP_8,KEEP,1.0391898312879868,0.0067338702001673,0.011409601446528,0.0,-0.011409601446528,0.011409601446528,0.0012822752135779325,0.0012323974910671996,-1.4605086598750696
RECALIBRATE_8,RECALIBRATE,0.9666807258097944,0.0062532526644062,0.0095549280274138,0.0,-0.0095549280274138,0.0095549280274138,0.07379138069177038,0.07092105615390604,-84.04822099286298
REVISE_8,REVISE,2.1362899581180748,0.0460515886231847,0.2304793225609028,0.8537755069587942,0.6232961843978915,-0.6232961843978915,1.09581785161651,1.0531929157630542,1248.1341329728016
KEEP_9,KEEP,1.0400717938046724,0.0067549833535786,0.0118571392425006,0.0,-0.0118571392425006,0.0118571392425006,0.0004003126968923354,0.0003847414018991132,-0.45595528501079147
RECALIBRATE_9,RECALIBRATE,0.9703923956554956,0.0062765524932513,0.0074810101411183,0.0,-0.0074810101411183,0.0074810101411183,0.07007971084606912,0.06735376220867842,-79.82063716776676
REVISE_9,REVISE,2.263394702576937,0.05111601123812,0.2313814386117746,0.8678499517086511,0.6364685130968765,-0.6364685130968765,1.2229225960753722,1.17535356155512,1392.9061585314892
KEEP_10,KEEP,1.0407838888102643,0.0067777784696519,0.0122019368099697,0.0,-0.0122019368099697,0.0122019368099697,0.0003117823086995486,0.0002996546536435955,0.35511936675508204
RECALIBRATE_10,RECALIBRATE,0.9536146695424824,0.0062543273436866,0.018596260533424,0.0,-0.018596260533424,0.018596260533424,0.08685743695908232,0.08347887119350825,-98.93043046455391
REVISE_10,REVISE,1.8977746180349124,0.0365244956882101,0.2284621502670519,0.8144319766243956,0.5859698263573436,-0.5859698263573436,0.8573025115333477,0.8239553046894279,976.4656830052674
