case,truth,alpha_case,structural_relative_gain,predicted
IND_KEEP_1,KEEP,1.0412549915598945,0.0,KEEP
IND_KEEP_2,KEEP,1.0404461249739125,0.0,KEEP
IND_KEEP_3,KEEP,1.0409124232030766,0.0,KEEP
IND_KEEP_4,KEEP,1.0417475085285381,0.0,KEEP
IND_KEEP_5,KEEP,1.0414746327914965,0.0,KEEP
IND_KEEP_6,KEEP,1.0408734895357323,0.0,KEEP
IND_KEEP_7,KEEP,1.0415724278195329,0.0,KEEP
IND_KEEP_8,KEEP,1.0400267954563742,0.0,KEEP
IND_KEEP_9,KEEP,1.040034740170591,0.0,KEEP
IND_KEEP_10,KEEP,1.0392097452112665,0.0,RECALIBRATE
IND_RECALIBRATE_1,RECALIBRATE,0.9784512123289288,0.0,RECALIBRATE
IND_RECALIBRATE_2,RECALIBRATE,0.9528000443625301,0.0,RECALIBRATE
IND_RECALIBRATE_3,RECALIBRATE,0.9353787507375739,0.0,RECALIBRATE
IND_RECALIBRATE_4,RECALIBRATE,0.9363799864473424,0.0,RECALIBRATE
IND_RECALIBRATE_5,RECALIBRATE,0.9843292127619947,0.0,RECALIBRATE
IND_RECALIBRATE_6,RECALIBRATE,0.9227207163201562,0.0,RECALIBRATE
IND_RECALIBRATE_7,RECALIBRATE,0.9853340538287241,0.0,RECALIBRATE
IND_RECALIBRATE_8,RECALIBRATE,0.963825787830241,0.0,RECALIBRATE
IND_RECALIBRATE_9,RECALIBRATE,0.8802441642275761,0.0,RECALIBRATE
IND_RECALIBRATE_10,RECALIBRATE,0.9129345581985657,0.0,RECALIBRATE
IND_REVISE_1,REVISE,2.500888567059427,0.898777887369482,REVISE
IND_REVISE_2,REVISE,1.8623880215092075,0.777490996374678,REVISE
IND_REVISE_3,REVISE,2.537987801043256,0.7862681183676403,REVISE
IND_REVISE_4,REVISE,1.9235210687224695,0.8016886132840246,REVISE
IND_REVISE_5,REVISE,1.9971839796644113,0.9175652128580121,REVISE
IND_REVISE_6,REVISE,2.292603417523315,0.8540793211238249,REVISE
IND_REVISE_7,REVISE,2.1781692848511884,0.9241379918904284,REVISE
IND_REVISE_8,REVISE,2.4079834159701097,0.8609910625102303,REVISE
IND_REVISE_9,REVISE,2.129984586144079,0.7221471154249876,REVISE
IND_REVISE_10,REVISE,2.5410053413688822,0.8018766070864485,REVISE
