case,truth,alpha_case,structural_relative_gain,quality,predicted
AB_KEEP_1,KEEP,1.0401635933546767,0.0,0.9885116860985338,KEEP
AB_KEEP_2,KEEP,1.0409645371927172,0.0,0.9973067109368345,KEEP
AB_KEEP_3,KEEP,1.039788276107852,0.0,0.8540265224496528,KEEP
AB_KEEP_4,KEEP,1.0397663767041885,0.0,0.9403910149780614,KEEP
AB_KEEP_5,KEEP,1.0406855082332194,0.0,0.9863692969197498,KEEP
AB_KEEP_6,KEEP,1.0413256452441244,0.0,0.9677512046033143,KEEP
AB_KEEP_7,KEEP,1.0405571766823205,0.0,0.9450249339281855,KEEP
AB_KEEP_8,KEEP,1.0402266752711173,0.0,0.9006249441182953,KEEP
AB_KEEP_9,KEEP,1.0417783321805645,0.0,0.9711646249894744,KEEP
AB_KEEP_10,KEEP,1.0408245977369652,0.0,0.8994720476037948,KEEP
AB_RECALIBRATE_1,RECALIBRATE,0.8837920869465653,0.0,0.9620975337287692,RECALIBRATE
AB_RECALIBRATE_2,RECALIBRATE,0.8850247482030671,0.0,0.9580558548801956,RECALIBRATE
AB_RECALIBRATE_3,RECALIBRATE,0.9653708673051344,0.0,0.9991548196354361,RECALIBRATE
AB_RECALIBRATE_4,RECALIBRATE,0.9412009092303014,0.0,0.9102470445599022,RECALIBRATE
AB_RECALIBRATE_5,RECALIBRATE,0.9194255654310107,0.0,0.935587190502871,RECALIBRATE
AB_RECALIBRATE_6,RECALIBRATE,0.9500885032085795,0.0,0.9457325429154524,RECALIBRATE
AB_RECALIBRATE_7,RECALIBRATE,0.8931032042009788,0.0,0.9691385918894149,RECALIBRATE
AB_RECALIBRATE_8,RECALIBRATE,0.9470849829562179,0.0,0.8888891102363556,RECALIBRATE
AB_RECALIBRATE_9,RECALIBRATE,0.979664485045698,0.0,0.8999373908783772,RECALIBRATE
AB_RECALIBRATE_10,RECALIBRATE,0.9605648634072571,0.0,0.9756779139198947,RECALIBRATE
AB_REVISE_HIGHQ_1,REVISE,1.9422239032772475,0.835116416234245,0.9271000360526892,REVISE
AB_REVISE_HIGHQ_2,REVISE,2.159391159592729,0.7148653102433882,0.9607309773192232,REVISE
AB_REVISE_HIGHQ_3,REVISE,2.1825683614327307,0.8268935269253064,0.8927216264671813,REVISE
AB_REVISE_HIGHQ_4,REVISE,2.033771978791618,0.7175615731261613,0.9920768066002091,REVISE
AB_REVISE_HIGHQ_5,REVISE,2.341550238015685,0.8986934236789315,0.9758679888392519,REVISE
AB_REVISE_HIGHQ_6,REVISE,2.2121891966273104,0.9438784963795658,0.886201213658188,REVISE
AB_REVISE_HIGHQ_7,REVISE,1.829918175859135,0.8177766643639501,0.8710526696666946,REVISE
AB_REVISE_HIGHQ_8,REVISE,2.175171101767809,0.8933670527311806,0.8759362344315228,REVISE
AB_REVISE_HIGHQ_9,REVISE,1.966566019090514,0.7744985601524595,0.882678445598563,REVISE
AB_REVISE_HIGHQ_10,REVISE,1.9534744818063514,0.9015214372213134,0.8986276394795994,REVISE
AB_ABSTAIN_1,ABSTAIN,1.788098572018158,0.716554881701997,0.7868564844173715,ABSTAIN
AB_ABSTAIN_2,ABSTAIN,2.24201004391765,0.8074775975415738,0.6550687670603556,ABSTAIN
AB_ABSTAIN_3,ABSTAIN,1.8074467578978868,0.7710516963849182,0.38944529580678083,ABSTAIN
AB_ABSTAIN_4,ABSTAIN,2.4558619320530104,0.7892634869903571,0.7602439552896587,ABSTAIN
AB_ABSTAIN_5,ABSTAIN,2.5085195017449498,0.8886170348147615,0.47341427860349655,ABSTAIN
AB_ABSTAIN_6,ABSTAIN,2.3192747931033764,0.7079863931111385,0.5301930894585073,ABSTAIN
AB_ABSTAIN_7,ABSTAIN,2.5562234615562667,0.9089198475810003,0.32848770240932024,ABSTAIN
AB_ABSTAIN_8,ABSTAIN,1.871060106663154,0.896543917320422,0.639321981029149,ABSTAIN
AB_ABSTAIN_9,ABSTAIN,2.2358690905242957,0.8569195937640165,0.3496974239385781,ABSTAIN
AB_ABSTAIN_10,ABSTAIN,2.1543604009014468,0.7031109662734674,0.5222235991600084,ABSTAIN
