structural_strength,quality,predicted
0.05,1.0,KEEP
0.15,1.0,KEEP
0.25,1.0,KEEP
0.4,1.0,REVISE
0.55,1.0,REVISE
0.7,1.0,REVISE
0.85,1.0,REVISE
0.95,1.0,REVISE
0.05,0.9,KEEP
0.15,0.9,KEEP
0.25,0.9,KEEP
0.4,0.9,REVISE
0.55,0.9,REVISE
0.7,0.9,REVISE
0.85,0.9,REVISE
0.95,0.9,REVISE
0.05,0.8,KEEP
0.15,0.8,KEEP
0.25,0.8,KEEP
0.4,0.8,REVISE
0.55,0.8,REVISE
0.7,0.8,REVISE
0.85,0.8,REVISE
0.95,0.8,REVISE
0.05,0.7,ABSTAIN
0.15,0.7,ABSTAIN
0.25,0.7,ABSTAIN
0.4,0.7,ABSTAIN
0.55,0.7,ABSTAIN
0.7,0.7,ABSTAIN
0.85,0.7,ABSTAIN
0.95,0.7,ABSTAIN
0.05,0.5,ABSTAIN
0.15,0.5,ABSTAIN
0.25,0.5,ABSTAIN
0.4,0.5,ABSTAIN
0.55,0.5,ABSTAIN
0.7,0.5,ABSTAIN
0.85,0.5,ABSTAIN
0.95,0.5,ABSTAIN
0.05,0.3,ABSTAIN
0.15,0.3,ABSTAIN
0.25,0.3,ABSTAIN
0.4,0.3,ABSTAIN
0.55,0.3,ABSTAIN
0.7,0.3,ABSTAIN
0.85,0.3,ABSTAIN
0.95,0.3,ABSTAIN
