case,truth,alpha_case,structural_relative_gain,quality,predicted
FINAL_KEEP_1,KEEP,1.0400717726705786,0.0,0.9029945669163306,KEEP
FINAL_KEEP_2,KEEP,1.0402555968135856,0.0,0.931861080840171,KEEP
FINAL_KEEP_3,KEEP,1.0400416773412722,0.0,0.9391416344449601,KEEP
FINAL_KEEP_4,KEEP,1.0416467010146093,0.0,0.8913615290559239,KEEP
FINAL_KEEP_5,KEEP,1.0407802871326377,0.0,0.8980162786712916,KEEP
FINAL_KEEP_6,KEEP,1.041114824019811,0.0,0.8568836341877278,KEEP
FINAL_KEEP_7,KEEP,1.040806350477593,0.0,0.9571549668625494,KEEP
FINAL_KEEP_8,KEEP,1.040930484276298,0.0,0.9497641027096214,KEEP
FINAL_KEEP_9,KEEP,1.0405728246495223,0.0,0.9119936778214167,KEEP
FINAL_KEEP_10,KEEP,1.0404626232779393,0.0,0.931168594321928,KEEP
FINAL_KEEP_11,KEEP,1.0414913794772211,0.0,0.9125850576412111,KEEP
FINAL_KEEP_12,KEEP,1.0401801794938323,0.0,0.8851546197211311,KEEP
FINAL_KEEP_13,KEEP,1.0405337292974772,0.0,0.8985812664190059,KEEP
FINAL_KEEP_14,KEEP,1.0412644421563158,0.0,0.9937062751253916,KEEP
FINAL_KEEP_15,KEEP,1.039695461481141,0.0,0.9485256367831105,KEEP
FINAL_RECALIBRATE_1,RECALIBRATE,0.9000294251177177,0.0,0.9383709705877801,RECALIBRATE
FINAL_RECALIBRATE_2,RECALIBRATE,0.9842522876172856,0.0,0.9045827654688176,RECALIBRATE
FINAL_RECALIBRATE_3,RECALIBRATE,0.8990690657952782,0.0,0.9137113735369119,RECALIBRATE
FINAL_RECALIBRATE_4,RECALIBRATE,0.8907791315642503,0.0,0.8593321499930535,RECALIBRATE
FINAL_RECALIBRATE_5,RECALIBRATE,0.924816361023419,0.0,0.9586941136893703,RECALIBRATE
FINAL_RECALIBRATE_6,RECALIBRATE,0.8896554110714515,0.0,0.900692601428065,RECALIBRATE
FINAL_RECALIBRATE_7,RECALIBRATE,0.8907887192524253,0.0,0.9675391078971721,RECALIBRATE
FINAL_RECALIBRATE_8,RECALIBRATE,0.9701542563650307,0.0,0.8700640361118838,RECALIBRATE
FINAL_RECALIBRATE_9,RECALIBRATE,0.9439125156626378,0.0,0.9314256421447548,RECALIBRATE
FINAL_RECALIBRATE_10,RECALIBRATE,0.9453842621798756,0.0,0.9011854889096911,RECALIBRATE
FINAL_RECALIBRATE_11,RECALIBRATE,0.9878114494433317,0.0,0.8759768372943209,RECALIBRATE
FINAL_RECALIBRATE_12,RECALIBRATE,0.9156170769788339,0.0,0.9829218262845522,RECALIBRATE
FINAL_RECALIBRATE_13,RECALIBRATE,0.9777674551299687,0.0,0.9193880505662085,RECALIBRATE
FINAL_RECALIBRATE_14,RECALIBRATE,0.9620154531088677,0.0,0.9111878792997194,RECALIBRATE
FINAL_RECALIBRATE_15,RECALIBRATE,0.9069546244509293,0.0,0.9596900472161103,RECALIBRATE
FINAL_REVISE_1,REVISE,2.5920494464777004,0.5808067359855913,0.9823432494899862,REVISE
FINAL_REVISE_2,REVISE,2.3218238546314134,0.5962036111121887,0.8634745974715722,REVISE
FINAL_REVISE_3,REVISE,2.3938948803243214,0.9488137086840731,0.9902085058502865,REVISE
FINAL_REVISE_4,REVISE,1.7352092651925681,0.7357493077495296,0.8762989524147923,REVISE
FINAL_REVISE_5,REVISE,1.7790286312072154,0.5886622788708908,0.8905274450575357,REVISE
FINAL_REVISE_6,REVISE,2.265930590176863,0.755117966029036,0.8953201407575273,REVISE
FINAL_REVISE_7,REVISE,1.8964108193790425,0.7794805128326513,0.912639535381953,REVISE
FINAL_REVISE_8,REVISE,2.344194898051666,0.9076966898990264,0.9350796392015825,REVISE
FINAL_REVISE_9,REVISE,2.3225384022616278,0.5532047439246737,0.8896722913759668,REVISE
FINAL_REVISE_10,REVISE,2.549700887873463,0.8657381521718792,0.969574330940401,REVISE
FINAL_REVISE_11,REVISE,2.2999353228996995,0.847417793264605,0.8825713610810307,REVISE
FINAL_REVISE_12,REVISE,1.7447256653837533,0.9119195321883004,0.8871751726728787,REVISE
FINAL_REVISE_13,REVISE,1.869000616207273,0.5532686102452358,0.9012957870497221,REVISE
FINAL_REVISE_14,REVISE,2.2546631219594135,0.8613545629886207,0.9375220474121035,REVISE
FINAL_REVISE_15,REVISE,2.5643401572937057,0.730062320881554,0.9127196944399435,REVISE
FINAL_ABSTAIN_1,ABSTAIN,2.0941816307148478,0.8503775659327557,0.24578777098702564,ABSTAIN
FINAL_ABSTAIN_2,ABSTAIN,2.237715893575892,0.9002160415056424,0.4134061616485338,ABSTAIN
FINAL_ABSTAIN_3,ABSTAIN,1.9582865280304858,0.6451382635383724,0.6058189127773312,ABSTAIN
FINAL_ABSTAIN_4,ABSTAIN,2.150052393798497,0.6943257664452442,0.28366283014631305,ABSTAIN
FINAL_ABSTAIN_5,ABSTAIN,1.9526457243858888,0.6008074911112955,0.24113080449946372,ABSTAIN
FINAL_ABSTAIN_6,ABSTAIN,2.516153520956661,0.5528941323192541,0.40066604056577204,ABSTAIN
FINAL_ABSTAIN_7,ABSTAIN,2.333225574334281,0.9360680024759367,0.6473773465014265,ABSTAIN
FINAL_ABSTAIN_8,ABSTAIN,1.7906468095649608,0.6863306078474896,0.5713472751180813,ABSTAIN
FINAL_ABSTAIN_9,ABSTAIN,2.476570270828716,0.8321208641998845,0.4253897879029794,ABSTAIN
FINAL_ABSTAIN_10,ABSTAIN,2.275826045171224,0.9281219600670744,0.2161850989012409,ABSTAIN
FINAL_ABSTAIN_11,ABSTAIN,2.5042712613150817,0.8694725510263135,0.5557097793199419,ABSTAIN
FINAL_ABSTAIN_12,ABSTAIN,2.038473102453649,0.8403658090923287,0.4503062829437104,ABSTAIN
FINAL_ABSTAIN_13,ABSTAIN,2.54745809786163,0.5625092052092551,0.4728372433923188,ABSTAIN
FINAL_ABSTAIN_14,ABSTAIN,2.5363366232371365,0.8915484760080719,0.40513952746557624,ABSTAIN
FINAL_ABSTAIN_15,ABSTAIN,1.7097473097278182,0.8797103581491639,0.5199165690994589,ABSTAIN
