seed,n,accuracy,false_revision_rate,missed_revision_rate,false_recalibration_rate,unnecessary_change_rate,abstain_precision,abstain_recall,KEEP_recall,RECALIBRATE_recall,REVISE_recall,ABSTAIN_recall
20260921,80,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
20260922,80,0.9625,0.0,0.0,0.0375,0.0375,1.0,1.0,0.85,1.0,1.0,1.0
20260923,80,0.95,0.0,0.0,0.05,0.05,1.0,1.0,0.8,1.0,1.0,1.0
20260924,80,0.975,0.0,0.0,0.025,0.025,1.0,1.0,0.9,1.0,1.0,1.0
20260925,80,0.9875,0.0,0.0,0.0125,0.0125,1.0,1.0,0.95,1.0,1.0,1.0
20260926,80,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
20260927,80,0.9625,0.0,0.0,0.0375,0.0375,1.0,1.0,0.85,1.0,1.0,1.0
20260928,80,0.9875,0.0,0.0,0.0125,0.0125,1.0,1.0,0.95,1.0,1.0,1.0
20260929,80,0.9875,0.0,0.0,0.0125,0.0125,1.0,1.0,0.95,1.0,1.0,1.0
20260930,80,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
